"","dPSI_NGN2_2070692.5600nM"
"C12orf4",1
"PEPD",1
"SEC22A",0.99999999992655
"GXYLT1",0.999999999876038
"DENND1B",0.999999999847283
"HTT",0.999999999826092
"CDC40",0.998
"SCO1",0.998
"LINC02210",0.997419343931909
"ZMYM6",0.997253602804126
"THSD7B",0.99702777441905
"CRYL1",0.997
"MLLT10",0.996962813981482
"KDM6A",0.996
"PCDH10",0.99358440879114
"POMT2",0.993
"GCFC2",0.991152465296085
"THADA",0.991
"CACNB4",0.990908921875784
"SF3B3",0.990003515927975
"PRKG1",0.988178280320314
"AC008581.2",0.986906904708605
"PIGN",0.982831374651936
"GABRB2",0.981666881994697
"COG3",0.979352634531929
"PDE7A",0.979
"FBXL16",0.977572935520021
"IVD",0.976637473732591
"AC009022.1",0.974161783971787
"WDR91",0.974131817045619
"AC068547.1",0.974088926169104
"TET1",0.973218662456664
"DHFR",0.970557213875853
"BRWD3",0.969661264523883
"ENOX1",0.96957889568122
"GARNL3",0.968143026230836
"RAF1",0.968
"PDXDC1",0.966301401823818
"CDC37L1",0.964694861164537
"ATP8A2",0.963914624243703
"FCHO1",0.963878468725317
"DENND1A",0.963659850239614
"PDXDC2P",0.962985496866931
"LMBRD2",0.962808382436385
"HSD17B12",0.959348073044205
"GALC",0.959
"AGPS",0.955017348637134
"INO80",0.95495937373254
"MFN2",0.954
"SNX7",0.952444469653084
"SETX",0.951536087834122
"PHIP",0.950369638002466
"KCNT2",0.949136657812756
"ZDHHC17",0.948691035823802
"ATG2B",0.948
"BECN1",0.94762359963064
"TASP1",0.946793273154328
"CYB5B",0.944503702239764
"ERCC6L2",0.943
"BTBD10",0.942789814260003
"ARL15",0.942
"DLG5",0.941571006561527
"FAM162A",0.941
"TPTEP2",0.94
"ARHGAP5",0.935551840049578
"CNGA3",0.935195565002602
"APPL2",0.934207594928908
"PDIA5",0.93354356205502
"CHD2",0.930637370697676
"TOE1",0.926444573412572
"ANKS1B",0.923821611828046
"MDN1",0.92229476325234
"MACROD2",0.922289725782441
"RASGRP2",0.920796243867353
"PPP3CA",0.917464856260157
"CLASP2",0.916553335146631
"CACNA1C",0.916
"MAST4",0.915771641606722
"RICTOR",0.914349366614688
"ADCY8",0.914124712907559
"ELP4",0.913
"NLGN1",0.912380998213313
"SAR1A",0.909603841089632
"SLC41A3",0.909270445816102
"SPIDR",0.909109700894336
"TAF2",0.908
"MTMR1",0.905413761346365
"ZNF730",0.905359587659813
"ADAMTS10",0.903143020830011
"KRBA1",0.903037993254167
"LRIG2",0.902360108567255
"IFT57",0.901696573196364
"EXOC6B",0.898
"DDX42",0.897148352094286
"TAF5L",0.897
"DCAF17",0.894298474255243
"DPH1",0.892226038991834
"FGD4",0.889
"LIMCH1",0.888
"DGKI",0.885535396138167
"ABCB8",0.884
"EMSY",0.882471352343642
"ARMH3",0.881494433427603
"ODR4",0.88082336370397
"CCDC93",0.879835076568457
"GALNT11",0.878211556219906
"VAV2",0.878079610930897
"DNAJA4",0.877470138265249
"CPLX2",0.876928716053248
"AL157871.6",0.875896984816562
"CTTNBP2",0.8756504590337
"FAM124A",0.872595290841506
"LARS2",0.872
"AXIN1",0.87
"SPDL1",0.863
"NLN",0.856277123426316
"SNAP23",0.855
"FAM114A2",0.85347418583388
"LMAN2L",0.852
"SPATS2",0.85024989610401
"ZMYM2",0.85
"LUC7L3",0.849612275030939
"PTPRT",0.849538810402056
"C14orf132",0.849
"MYT1",0.849
"ERCC8",0.848
"AGK",0.844296964151054
"SMC5",0.840233469933322
"FOCAD",0.839713024863526
"GNAQ",0.832035317883915
"LRRC42",0.831
"MED13L",0.83083754263661
"HDX",0.827
"HDAC5",0.826214360924447
"APLP2",0.826
"RARS1",0.825329220383816
"NIPA1",0.823
"VSTM2L",0.821094544431749
"NUP58",0.816
"SRGAP1",0.812986647905931
"URGCP-MRPS24",0.812708872135007
"NR1H3",0.811298187824467
"PRPF31",0.810002138578654
"ZNF138",0.80880515304124
"DMXL1",0.805581150763417
"VDAC2",0.801947451818193
"CHN2",0.800100288637096
"ARMCX6",0.8
"SGK1",0.799982746881519
"AC114490.2",0.799788796992124
"TIAM1",0.799254117026091
"ZNF10",0.797212189399899
"SLK",0.797096903252238
"ZNF804A",0.797002627979952
"DOCK3",0.796903326864886
"ZFP82",0.796539037697516
"GLRA3",0.794489311699845
"APIP",0.791022469849323
"NRL",0.790926056901777
"AL031315.1",0.786800812292111
"BICD1",0.784835118135727
"STX18-AS1",0.784811085420486
"AC068205.2",0.783611917507429
"MMS19",0.783497121604954
"NEDD4",0.783460840977542
"ADGRL1",0.782515301434438
"FHOD3",0.781735532413968
"NCOA6",0.780507231049978
"RBBP8",0.7795766864136
"VPS13C",0.77941753210244
"FAM174A",0.779
"MAN1B1",0.776
"STOX2",0.775312957528611
"DPY30",0.773291731991131
"TMEM214",0.770305074211875
"TPGS2",0.769
"WSB1",0.769
"CYP4V2",0.768625789106702
"BEND6",0.768
"CREBZF",0.766
"CEP162",0.764514774038104
"DLG2",0.764075829675153
"OBSCN",0.762087527068556
"WASHC4",0.761035563762626
"BLMH",0.760164854001814
"MANEA",0.759491572883895
"FASTKD2",0.758975066570883
"PCDH9",0.757992415862653
"CACNA2D1",0.753641822433215
"ANKRD36",0.753328166741135
"MYT1L",0.750186810758499
"RAB27B",0.749840509539488
"SORCS1",0.749719983607155
"CSTF3",0.749658781285091
"SLC35A5",0.747900294510522
"SENP6",0.747
"INVS",0.743330266441855
"RAB11FIP2",0.74109774749896
"EXD2",0.737
"CEP95",0.736241421855643
"PHLDB1",0.735843235155828
"LYRM1",0.733
"MTERF3",0.731938184689143
"NEGR1",0.728869422987062
"FUCA1",0.72811870584633
"ABHD10",0.727
"FER",0.726404627050711
"PSMB1",0.723970811352673
"ARID1A",0.722639129066916
"SLC38A1",0.719247892897124
"CAPRIN2",0.719066221397435
"MYO5A",0.715125754671594
"SLC12A2",0.714568118925216
"DAAM1",0.712882281967027
"CCT5",0.710183289849156
"PIK3CD",0.709395498409217
"INTS6L",0.708952311866512
"BICDL1",0.704401091551405
"DENND4A",0.702
"ZNF169",0.701551464683556
"CUL3",0.699156897340872
"SSBP1",0.694
"RPF2",0.692256930064108
"ZNF680",0.691111688370565
"VAMP4",0.687256879820788
"ATG4A",0.686
"THRAP3",0.685
"PRKACB",0.682960334233263
"ZNF618",0.681
"KIF1A",0.6807805905698
"RBBP4",0.67987079768361
"RERE",0.677678225225681
"ERC2",0.677081077479065
"RAB8B",0.674265034523146
"SULF1",0.673640995342315
"PABPC1",0.673
"NBL1",0.6721023777494
"ZMIZ2",0.67
"RAB2B",0.669536809871714
"CD47",0.667450584607133
"ELL2",0.666487309229651
"PTPRO",0.6648443405119
"MAN1A2",0.663783381475207
"AC114316.1",0.660873061457116
"ULK1",0.658933103224228
"YPEL5",0.654
"SSR1",0.651339592098241
"SPPL2B",0.651
"SORCS3",0.649850967398504
"SNTG1",0.648316531704527
"PRIM1",0.6472481422496
"PBX3",0.646838114452407
"FGF12",0.646490844857923
"RNF144A",0.643215143556709
"FAM91A1",0.642605841973234
"BRWD1",0.64166539791904
"XRN2",0.64107520016858
"NCOR1",0.641
"GTF2H2C",0.640422742160483
"CCDC30",0.639049408523819
