"","dPSI_iPSC_2059811.870nM"
"SNAP23",0.987
"ASAP1",0.986
"POMT2",0.975
"STX18-AS1",0.973608445022889
"SEC22A",0.972408167009897
"PDIA5",0.972183574722424
"TMC3-AS1",0.97098081041508
"C12orf4",0.96542786046983
"CENPI",0.958101088002079
"SLC12A2",0.943389441189122
"AC009022.1",0.941772903323133
"ZNF585B",0.933967757432913
"FBN2",0.931868219849019
"MFN2",0.931
"SOS2",0.923545645819091
"TASP1",0.92267279618821
"MAN1A2",0.920764106073938
"ARL15",0.92
"PRPF31",0.900971075354991
"FGF12",0.896155068748849
"PDXDC2P",0.891637808701031
"ASCC3",0.885449152607933
"EVC",0.884713607379086
"KDM6A",0.883
"HTT",0.881552810473364
"LNPK",0.873706168879837
"MMS22L",0.872795854335572
"GCFC2",0.871668992375961
"MATK",0.870380751993263
"CYB5B",0.857547158166719
"FAM162A",0.857
"CDC37L1",0.855668557550043
"VWDE",0.850229605770069
"TMEM214",0.843127798065137
"DUS4L",0.838199758724537
"APIP",0.834223671372712
"RAF1",0.832
"ANKHD1-EIF4EBP3",0.82650381423596
"NAV2",0.825
"CMSS1",0.823
"ZFP82",0.822580949770245
"MTERF3",0.819811842166687
"EMSY",0.81889200508683
"HSD17B4",0.817696716298471
"PIGN",0.816705097374662
"LARP7",0.814
"GNS",0.813921443065644
"ABHD10",0.813
"TARBP1",0.798
"HDX",0.795
"PDE7A",0.794
"BRD2",0.792741743211833
"VAV2",0.79084965273941
"NEDD4",0.788674065111473
"WDR27",0.785085138118277
"SAR1A",0.771771636087379
"PIEZO2",0.767
"PPP1R26",0.766030422020037
"AXIN1",0.766
"TNS3",0.765686995282477
"ANKHD1",0.764527168419541
"FOXM1",0.764
"STXBP6",0.755222413863425
"ZNF138",0.750904783063369
"SYN3",0.749966814059128
"IFT57",0.743754190192438
"FOCAD",0.740910154457669
"RNF144A",0.738635827067126
"DDX42",0.724720960235026
"ODR4",0.719761630007759
"LYRM1",0.715
"SPIDR",0.713665973157319
"RAB2B",0.70805741576422
"MAN1B1",0.707360375685124
"XRN2",0.704652999354978
"FAM174A",0.692
"WDR91",0.691
"TIAM1",0.690828299369285
"SPPL2B",0.685927234171753
"OR2A20P",0.679
"RAP1A",0.679
"C1orf94",0.678880530446242
"DENND1A",0.677921665326193
"ATAD2B",0.67766652181345
"GAS2L3",0.672
"DPH1",0.667841797894304
"TANK",0.666103823901697
"AL031315.1",0.663814032373014
"LRRC42",0.663
"VPS29",0.66
"PRKDC",0.649078795629156
"ZMYM6",0.640495450994411
"UBAP2L",0.640305899579509
"TRAF3",0.638382329493879
"APLP2",0.638
"DHFR",0.636072198418662
"CLK4",0.628
"CEP164",0.626524069157361
"TPTEP2",0.626517124889978
"FES",0.622827108326006
"MED13L",0.62259721871736
"SENP6",0.619
"AC068205.2",0.617
"ULK1",0.61676366915617
"ERGIC3",0.616
"ZNF618",0.61
"COP1",0.60886401461428
"SPATS2",0.605192137367516
"EXOC6B",0.599
"MAP4K5",0.596151954334254
"GXYLT1",0.593660067539791
"CTNS",0.592775020195118
