"","dPSI_iPSC_2059811.870nM"
"RAPGEF1",0.588
"BRWD3",0.583541304757908
"NLGN1",0.583396930648267
"C14orf132",0.581523328424128
"CRYM",0.581258677619138
"CLASP2",0.579654971564737
"TTTY14",0.578213055610915
"LINC02210",0.575266309267076
"PDXDC1",0.574741709062117
"MLLT10",0.572084136399597
"ZNF10",0.571266788862824
"SCO1",0.565
"ZFYVE26",0.564079475268085
"CDC40",0.563738608940556
"ANXA11",0.563
"TAF2",0.557
"TENT2",0.545621349936379
"GPSM2",0.545002921658216
"AC138932.1",0.541132094230952
"HIKESHI",0.541
"NPIPA1",0.540772106105661
"CIP2A",0.538571198111638
"MYLK",0.536242825835447
"NUTM2B-AS1",0.534128097158973
"STAT1",0.534
"AMT",0.533
"ZNF66",0.526
"DNMBP",0.525583535371044
"BICD1",0.521567295403531
"TCF4",0.520609798114499
"HMGA2",0.519119991428275
"PXK",0.518942434872071
"BCL2L2-PABPN1",0.517915168450501
"RPF2",0.511264715652334
"HSD17B12",0.507035998574638
"KCND2",0.505528200249951
"RERE",0.505276579739731
"KCNN2",0.505
"MEMO1",0.504487189082605
"FGD4",0.501
"EIF5",0.500335900418931
"RPS10",0.49119572313075
"CHEK2",0.491
"ZMIZ2",0.488
"DDX50",0.487630093053806
"AC114490.2",0.487136363525611
"DPY30",0.484639662503467
"ABCB8",0.484
"PROSER1",0.483
"ANKRD9",0.481
"RARS2",0.481
"NCOA6",0.478
"BLACAT1",0.476798990727989
"PHB2",0.473163057917094
"SLC7A6",0.473
"RPA1",0.472390481974705
"BECN1",0.470815210404865
"ZNF783",0.470625002425594
"PLEKHM1",0.468
"DCAF17",0.467
"BICRA",0.466756373658827
"CCDC130",0.463947877531881
"MTMR1",0.463225656490821
"ELMO2",0.459
"PMS1",0.458
"MADD",0.456
"SCLT1",0.453
"PRKG1",0.452866673382663
"GULP1",0.45255591503459
"KCTD20",0.451423360062154
"CACNB1",0.446169069191189
"ENAH",0.446071482921244
"GRAMD2B",0.442
"SUN1",0.442
"NIPA1",0.437
"NPEPPS",0.437
"ZNF232",0.436537093594592
"NOD1",0.436
"LINC01145",0.435282578413926
"LRIG2",0.435059501568707
"MYCBP2",0.435
"LINC00678",0.432448919380318
"EPB41L2",0.43
"ZNF350",0.429670007936478
"PLEKHA1",0.429043593277338
"KCNT2",0.429006268767085
"VPS13A",0.428946859093148
"AKAP9",0.426
"GRID2",0.425655017874487
"ZMYM2",0.424
"TESMIN",0.423071689881103
"LINC00649",0.422331333533835
"MTG1",0.422
"ARMCX6",0.420907616721623
"ZNF317",0.420358820440219
"TRDN",0.420218094896962
"NUTM2A-AS1",0.419895969334112
"ERC1",0.419859607822755
"SNHG16",0.419
"STRN",0.418810886074131
"ZCCHC8",0.415307689357724
"FYCO1",0.4150709233376
"RBBP8",0.414243070589128
"DENND5A",0.413
"FUS",0.412804786392742
"SERGEF",0.412688598757265
"DOCK1",0.410127276601077
"PMS2P10",0.409217120969182
"CCDC88A",0.408
"GLCE",0.404819504112728
"ADGRL1",0.403749597782152
"RPGR",0.402
"SUPT20H",0.4
"WNK1",0.399324366802077
"SELENOO",0.399273414758651
"BORCS8-MEF2B",0.398768884695741
"OSBPL6",0.398518360122011
"TMEM108",0.398
"AC008695.1",0.397576077837147
"LHFPL2",0.397205931312141
"LRP8",0.394
"IVD",0.393331568391032
"SNX24",0.390659451618109
"PLCH1",0.390566967976673
"SMC6",0.39
"ERRFI1",0.387640868020668
"GRB10",0.386
"PPM1B",0.385625150238822
"CHD2",0.385576949364175
"SF3B3",0.385422769718782
"ADAL",0.385298771649675
"FIGNL1",0.385
"CNRIP1",0.384936375619056
"RABGAP1L",0.384294610952006
"P4HTM",0.384
"NUP35",0.383491259024643
"PITPNB",0.383345758036636
"ENSA",0.383
"RAPGEF6",0.383
"AC013717.1",0.382730278928696
"RBCK1",0.381187988471505
"PRPF39",0.380783129958622
"MMS19",0.38
"MMP17",0.379158863977301
"FBXO10",0.377683405343405
"TEPSIN",0.377
"COPS7B",0.376877433710641
"ATPAF1",0.376472130158871
"SERP2",0.374471124483966
"LUC7L3",0.373007370635512
"TRAF4",0.373
"UNC13A",0.372644572272497
"EML1",0.370755130180176
"ALG13",0.37
"CHD9",0.369
"ELP6",0.369
"FAM124A",0.368058864144524
"GPATCH2L",0.367184398065905
"CLTC",0.366822430041697
"FAIM",0.366481200133637
"EPN1",0.366243808996209
"CCDC93",0.36510857663352
"ANKRD18CP",0.364
"LATS1",0.363114325819628
"CLN3",0.363
"PCM1",0.362745495415014
"TAB3",0.362
"YPEL5",0.361
"MYO6",0.360811173578586
"DLGAP4",0.36
"PRUNE1",0.36
"TET1",0.359147427839412
"FBXO38",0.359
"CD47",0.357
"MARK3",0.357
"TSPAN2",0.356
"EEF1D",0.355
"GUSBP11",0.355
"SNX4",0.353995083784843
"ZNF730",0.353694493115676
"ZXDC",0.353
"ZSCAN31",0.352
"GNG10",0.35186117391911
"VDAC2",0.350407408750332
"CR2",0.35
"MDM4",0.35
"PPHLN1",0.35
"TAF5L",0.35
"TANGO2",0.349946124336479
"DLG5",0.349295888628369
"AC138894.1",0.348
"CARD8",0.347
"MGA",0.347
"STRN3",0.347
"TASOR2",0.347
"ACVR1B",0.346
"ADAM17",0.346
"NPHP3",0.346
"PACRGL",0.346
"HIP1",0.34495121190735
"EXTL2",0.344
"SNHG14",0.344
"NUP58",0.343
"IL17RB",0.342
"MED1",0.341422700991632
"MORF4L1",0.341302360495713
"FAAP20",0.34
"BCLAF3",0.339292068904834
"AFMID",0.338
"PPP2R5C",0.338
"STRIP1",0.338
"TOE1",0.338
"TJP2",0.336384998015473
"PPIP5K2",0.336
"TSPAN7",0.336
"CEP41",0.335930971578896
"WNK3",0.335199683189855
"CDK18",0.333779472631701
"ZNF197",0.333
"AGO3",0.332177736112726
"TRIM27",0.332
"PPP4R4",0.331566474541378
"ALG9",0.331
"DDB2",0.331
"SELENBP1",0.331
"PIKFYVE",0.330935385848188
"NTM",0.329
"TTC23",0.328
"RCC1",0.327188156869281
"BORCS8",0.327
"TMEM18",0.327
"PDE3B",0.326617242797703
"ADAMTS19",0.326
"ZNF117",0.325556491976002
"DCBLD2",0.325539385166404
"MFF",0.324
"RFFL",0.323
"SH3YL1",0.323
"MGAT5B",0.322
"SRGAP2C",0.321184642512158
"CLEC16A",0.321
"MGAT4B",0.321
"RBM33",0.32
"HMGN1",0.319
"NR1H3",0.31899878260304
"SLC44A2",0.318
"AC018630.2",0.316
"RAB5IF",0.316
"WASHC4",0.31483403151599
"CAPRIN2",0.314782619434272
"FAM161A",0.314
"LINC01484",0.313
"PEAK1",0.313
"ZKSCAN3",0.313
"LARS2",0.311
"AL157778.1",0.310777702640966
"GGCT",0.31
"VCAN",0.31
"FAM149B1",0.309
"KLHDC4",0.308
"MRPL20-AS1",0.307
"SGCE",0.307
"TNRC6A",0.307
"ZNF181",0.306052528112889
"PCBD2",0.305815353687819
"ZNF268",0.305
"EP300",0.304089073298962
"CCDC136",0.304
"GNB1L",0.303441781605717
"FBN3",0.303
"TTC7B",0.30247504738201
"SLC25A17",0.302
"DYRK1A",0.301
"ZNF346",0.301
"NBPF9",0.300692224664404
"ATXN2L",0.3
"ZNF26",0.3
"CYP2R1",0.296594951874625
"DMC1",0.296101904797417
"SREK1",0.292127783700825
"PRELID3A",0.292060784531743
"ERG",0.291930191504835
"ZNF43",0.291817101786232
"TRIM4",0.28979585669807
"ZNF888",0.289417624670356
"WSB1",0.288111295411781
"BSDC1",0.288043174298617
"ADCY3",0.287503154420738
"PRKCI",0.285184628035152
"ANO1",0.284594067682163
"TC2N",0.284407749333976
"SRGAP2B",0.284003971725303
"STRN4",0.282540737888891
"TRAFD1",0.281518831041074
"ZKSCAN7",0.278572415681539
"NELFA",0.278486268787643
"KIF3A",0.278395462951195
"ARNTL",0.278142586184843
"UBP1",0.278046214906578
"CROCCP2",0.277479706371801
"DIAPH2",0.276121615525155
"ERCC8",0.275995073778079
"RNF111",0.275925470639242
"TTI2",0.275771233690047
"CNTRL",0.274835143112783
"MGRN1",0.273865287923829
"AOPEP",0.273656341612774
"BBX",0.272952015854733
"EXO1",0.272933579417528
"SETDB2",0.271909037063155
"NUP50",0.271544681624055
"SRGAP1",0.27022261809695
"ZMAT3",0.270049951767335
"KIF21A",0.268936273682612
"DELE1",0.268070404658219
"MARCHF8",0.267886142277696
"DARS1",0.267805316239038
"JAKMIP2-AS1",0.267541167550781
"USP42",0.267406568404152
"CABYR",0.267230479881124
"MICALL1",0.266709843713785
"SPIRE1",0.266011517680306
"LRRC8B",0.265385190696748
"SRGAP2",0.264506483868266
"PNISR",0.26445626690914
"ARVCF",0.263305645548559
"CTTNBP2",0.261283088411907
"SAFB",0.259476085987463
"BX890604.2",0.259447570567793
"TBC1D1",0.25722639187144
"XRRA1",0.257040331041931
"SNX7",0.256337206241397
"KIF13B",0.255470774287604
"ZFR",0.25519083050122
"TTC28",0.254699982179754
"HAGH",0.254584040783109
"CLASP1",0.254307601002989
"PMS2CL",0.25266799816786
"FIRRE",0.2525628109306
"ZFP69B",0.251507211467952
"KIF1A",0.251268465840891
"ZNF620",0.250843929211299
"MBD5",0.250028617354139
