"","dPSI_iPSC_2136770.1000nM"
"C12orf4",0.980626927527562
"ASAP1",0.979
"POMT2",0.97
"COL4A5",0.968382322569291
"SNAP23",0.96
"CENPI",0.939625971292538
"AC009022.1",0.930203625471647
"GALC",0.921273224951587
"TMC3-AS1",0.920441594413505
"PDXDC2P",0.920028540375131
"STX18-AS1",0.91448847285113
"HTT",0.913638125671148
"ARL15",0.908
"FBN2",0.898208187608637
"AC068205.2",0.892840796237112
"TOE1",0.889939144597348
"KDM6A",0.885
"LINC02210",0.853279543445956
"ZFP82",0.843060444083308
"SKP1",0.835462360065024
"EVC",0.832607493745377
"MFN2",0.828
"PPIP5K2",0.826458931260844
"SLC12A2",0.822753049985028
"GCFC2",0.809701798398711
"MMS22L",0.802994327955934
"PDXDC1",0.801584076981376
"RAB2B",0.798410490448527
"TIAM1",0.79413707456971
"LNPK",0.79315392880752
"FRYL",0.789
"NAV2",0.789
"PDE7A",0.785
"TASP1",0.784231967426017
"FAM162A",0.782
"STXBP6",0.780263389479063
"MAN1A2",0.77376060538814
"HSD17B4",0.767153067771202
"TPTEP2",0.765
"PRPF31",0.764241158361981
"MATK",0.76357203958457
"ADAMTS19",0.762785325695305
"AC104109.3",0.761852134338174
"HDX",0.759
"RPS4X",0.751539363782378
"EMSY",0.75004845118111
"SNHG16",0.747
"FOXM1",0.744
"APIP",0.742597280703336
"CTNS",0.738840962877337
"TARBP1",0.736
"LYRM1",0.725
"MLLT10",0.721016334329543
"RAF1",0.716
"XRN2",0.710355410881927
"TMEM214",0.707771245861635
"ZMYM6",0.704013758307351
"LRRC42",0.703
"CIP2A",0.687914892730696
"ASCC3",0.683414197926781
"SPIDR",0.680814076990839
"ERGIC3",0.676
"CDC37L1",0.671516173842241
"AXIN1",0.669
"VWDE",0.664601875880733
"PPP1R26",0.663038808524707
"SENP6",0.659
"RAP1A",0.658
"CLASP2",0.656
"DHFR",0.646161664618231
"CRYM",0.64007538616373
"PIGN",0.639423912666472
"EXOC6B",0.638
"TCF15",0.636806439349862
"TAF2",0.631
"SOS2",0.629038436421899
"FAM174A",0.629
"NEDD4",0.628668629813998
"C14orf132",0.620045148149122
"ZNF138",0.619922622160861
"APLP2",0.619
"SAR1A",0.618967646513518
"ODR4",0.611242100011342
"ANXA11",0.607
"OR2A20P",0.6
"LINC00862",0.596811480976793
"HIKESHI",0.594
"ACHE",0.593328049919712
"VAV2",0.589804880518212
"VPS29",0.588
"WDR91",0.587837464578659
"CYB5B",0.586982986076188
"MAN1B1",0.582633832642875
"C1orf94",0.578637487110608
"SF3B3",0.576163483546443
"ZFYVE26",0.572469794780209
"AC114490.2",0.571841040971282
"ANKHD1",0.567902587320733
"FGF12",0.566500653323793
"FOCAD",0.565061282400051
"TNRC6A",0.563450705924252
"TENT2",0.562895981192997
"DPH1",0.560634531597322
"GXYLT1",0.558636376176
"ARHGEF10",0.553512634541931
"MADD",0.547
"EXTL2",0.544997136362263
"CTTNBP2",0.543370126862818
"AC009533.1",0.542380602844435
"PNISR",0.541195111650227
"FES",0.538661810420384
"TANK",0.536320348370356
"CCT7",0.535
"WNK1",0.528411232242563
"WASHC4",0.524682938107032
"SPPL2B",0.523236093133844
"WDR27",0.522488874049493
"DIAPH3",0.522011791389553
"ABHD10",0.521
"ANKHD1-EIF4EBP3",0.518625287331346
"ZNF730",0.518090207739016
"DDX42",0.510920837133378
"NUP58",0.508
"CREBZF",0.506
"ADAMTS10",0.505265553540701
"BECN1",0.504418718440617
"ZNF680",0.503606522436207
"ERCC6L2",0.501
"NPHP3",0.5
"DENND1A",0.49928782664477
"GPSM2",0.499216877318028
"ZMIZ2",0.496
"ZNF618",0.494
"ADAL",0.491643048256489
"NOD1",0.491
"TCF4",0.488010682751034
"ABCB8",0.487
"SLC7A6",0.485
"SLC25A17",0.484
"NUTM2B-AS1",0.482523959186442
"ENAH",0.481475733856125
"ZNF585B",0.478676520291035
"FGFR1",0.478
"SERGEF",0.474
"IFT57",0.471454687911289
"RPS10",0.470255349106162
"DCAF17",0.47
"SAMD12",0.469857344277674
"LINC00678",0.468084444160749
"ZNF66",0.466
"CACNB1",0.46285728844645
"PRODH",0.462373271331822
"STRN",0.458869081950651
"RNF144A",0.458231046188337
"TRIM37",0.454989155277687
"ZNF783",0.454575341537319
"TRAF3",0.45405326451099
"GRAMD2B",0.454
"MKNK1",0.451955842976148
"MYCBP2",0.451
"RAPGEF1",0.448
"ZNF10",0.447535548815955
"ASAP2",0.443974180344769
"UGT3A1",0.443385948674413
"LRRC37B",0.437966103639673
"AC008581.2",0.43274598748772
"RCOR3",0.431916908271576
"KCNT2",0.431648735274443
"ADAM17",0.430747414546791
"CLN3",0.428
"PLEKHA1",0.42301464789264
"AC138894.1",0.422
"CD44",0.422
"CBWD5",0.421920539811549
"THRAP3",0.421
"DLGAP4",0.418
"CLK4",0.417
"MDM4",0.41
"EML1",0.409497691745507
"EXD2",0.408336420015232
"SH3YL1",0.408
"IL17RB",0.40584121660496
"GNS",0.403794740841465
"CACNA1H",0.402852611610631
"ELMO2",0.402
"ARAP3",0.396245227673907
"PLEKHM1",0.396
"CRYBG3",0.395013019282807
"DENND5A",0.395
"FBXO31",0.394564350288581
"CHD9",0.392
"KCTD20",0.391726092569815
"EHHADH",0.391261308495759
"ZNF350",0.390930674181869
"RSRC2",0.389
"TRAPPC13",0.389
"ADGRL1",0.386602148128178
"TSPAN7",0.386
"PITPNB",0.384498352584067
"RERE",0.384360771151527
"KIF3A",0.383
"ARHGAP5",0.380307054350902
"RPF2",0.377142041227409
"FAM161A",0.376258813128437
"MYLK",0.375958391944396
"ULK1",0.374751680956427
"NUTM2A-AS1",0.373929450790647
"AL031315.1",0.372438455169083
"FGD4",0.372
"ACVR1B",0.371020629246325
"STOX2",0.370725768629794
"ERRFI1",0.370583063438809
"STRN3",0.367
"TASOR2",0.366
"ZNF26",0.364
"LINC01484",0.363
"TRIM4",0.361674865920476
"PPP4R4",0.360370016423115
"USP9Y",0.359190697703322
"GRID2",0.358151889768648
"NIPA1",0.358
"FIGNL1",0.357
"SGCE",0.356
"HIP1",0.35536471270466
"SREK1",0.355198697875831
"TET1",0.349257550409432
"MMP17",0.348952905454451
