"","dPSI_iPSC_1949634.10uM"
"ANKRD13C",0.726497590617971
"CEP135",0.724421957265513
"ABCC1",0.722887045257528
"HIBCH",0.722408682847955
"RAP1A",0.722
"CD47",0.721
"SATB1-AS1",0.719624218582609
"PLCB4",0.719266631169288
"IGF2BP3",0.719
"FAM193B",0.718
"NEDD4L",0.715
"STRN4",0.715
"ZCCHC8",0.713
"MORF4L1",0.712740130104735
"GAB1",0.712370585878338
"USP42",0.711573223795456
"IDH1",0.710222566717436
"POGZ",0.71
"SUPT5H",0.71
"KIF13A",0.709503374858773
"HMGA2",0.707797277918432
"AGPS",0.707389178323471
"PLEKHM1",0.706
"ITGAV",0.705372147428451
"PPP1R12A",0.705
"DYNC1LI1",0.703104906032607
"CHD2",0.702058441020039
"CENPK",0.701
"RCOR3",0.701
"MARCHF7",0.700970417255924
"LHFPL2",0.700859967194182
"ERC1",0.699636859570246
"AUTS2",0.699
"FSD1",0.698489230939352
"FAM161A",0.698
"SP4",0.698
"CACNA2D1",0.697080794014121
"RFFL",0.697
"COL4A5",0.696
"GCLC",0.696
"ADGRL1",0.695139759540728
"DLGAP4",0.695
"SLC7A6",0.695
"TMEM189",0.695
"TAB3",0.692
"AC011468.2",0.691650938031433
"INTS6L",0.69017182674246
"DDX58",0.689081061255119
"PITPNB",0.689069143467766
"FAM162A",0.687
"MED13",0.686
"PPRC1",0.686
"TRPC4",0.686
"HTRA1",0.685393557364728
"CRACD",0.683327776405339
"TPTEP2",0.682763208566587
"RPA1",0.681101990013724
"FNDC3A",0.679171972892957
"ENPP1",0.679
"DARS1",0.678904127109217
"USP25",0.678080361327996
"IRF9",0.678
"DOCK1",0.677850944300415
"PRDM4",0.675
"STRIP1",0.675
"CAPRIN2",0.674
"CNOT2",0.674
"ZNF708",0.674
"YPEL5",0.673
"TAF5L",0.672
"TAF2",0.671
"NEO1",0.669
"RAB23",0.663794174346948
"CHURC1",0.661000168603342
"TMEM50B",0.66
"AC091959.3",0.659743593993951
"TTC7B",0.658126720360729
"CLTC",0.658
"WSB1",0.658
"ZNF66",0.658
"RALGAPA2",0.6573348481103
"FUBP3",0.657
"AL360181.3",0.655
"CHD9",0.654
"SCAPER",0.653651536795746
"HDAC8",0.652
"TMEM189-UBE2V1",0.650411293345277
"EYA3",0.65
"TSC1",0.65
"CLK4",0.648
"PELI1",0.647582998855403
"RBM27",0.646
"SORBS1",0.644
"BUB1",0.642325701500781
"GSE1",0.641
"IST1",0.640977276626063
"KDM6A",0.64
"USP45",0.639
"MAP4K4",0.638
"SENP6",0.638
"SRF",0.638
"ZFR",0.637
"FAM172A",0.636446590814085
"PRPF39",0.63644413661281
"LMAN2L",0.633
"NSUN5P1",0.633
"NUP54",0.633
"ZNF346",0.633
"USP9Y",0.632813103737153
"TMED9",0.632023925213689
"LARP7",0.632
"MTG1",0.631
"PKIB",0.631
"BAZ2B",0.63
"ZNF350",0.62925091271116
"ZNF419",0.628689142708847
"EP300",0.627887537135098
"OTUD3",0.627243809815401
"PPP6R3",0.626440552788203
"PRKG1",0.626167595519549
"ELP1",0.62607678299842
"GRAMD1A",0.626018177118211
"HIRA",0.626
"PPM1B",0.625620937763697
"TBRG1",0.624954326249759
"SLC41A3",0.624311941435187
"FOXP1",0.623
"L3MBTL3",0.623
"PIK3CD",0.622815238920418
"SLC25A21",0.622
"MED12L",0.62
"LINC02387",0.619705507280098
"SAMD12",0.619669868241691
"CD99L2",0.619
"MAP4",0.618
"PHACTR4",0.618
"TMEM108",0.618
"C22orf39",0.616528354119426
"AC013717.1",0.615506102099147
"RAB38",0.61541767762848
"SMPDL3A",0.615352084377124
"DDIAS",0.614726241952029
"AC013489.1",0.614
"SYNJ2",0.613918362674326
"ENAH",0.612403432222141
"SNX24",0.612385063228261
"HEATR5B",0.612075397325468
"SH3PXD2A",0.612
"LINC00678",0.61188340106031
"ATAT1",0.611
"LSM14B",0.611
"NFKB1",0.610828866865951
"CYP2R1",0.610013001301881
"APLP2",0.61
"PKD1P1",0.60909535607096
"PALLD",0.606
"TPP2",0.606
"PGAP2",0.605
"LRBA",0.60438423859563
"WSCD1",0.604236550884648
"KCNN2",0.604
"TPT1-AS1",0.60371506816639
"XRRA1",0.60342810351526
"CD46",0.603
"CDCA7",0.602
"NELFA",0.601517671178139
"UNC13A",0.60149598077491
"ZC3H10",0.600208391487729
"VPS53",0.600083234557183
"CHEK1",0.598911600398254
"MAGI1",0.598
"TIA1",0.598
"CPSF7",0.596
"ZNF589",0.596
"POLDIP3",0.594
"GLB1L",0.593871878720927
"ASAP2",0.592
"FBH1",0.591790748983939
"PVT1",0.591503486622208
"SCLT1",0.591
"TPMT",0.590031689332651
"ATXN7L1",0.59
"TENT2",0.589
"SF3B3",0.588442329073521
"NT5C2",0.588220643778497
"LINC01145",0.588101015739294
"EFR3B",0.588
"NCSTN",0.588
"CHROMR",0.587
"RBSN",0.587
"TPGS2",0.587
"WDR37",0.586587580133656
"GZF1",0.586
"SUPT20H",0.586
"PMS2P10",0.585108649239975
"FBXO38",0.585
"TBRG4",0.585
"TNK2",0.585
"GPR176",0.584
"GTPBP2",0.584
"UTP25",0.584
"HDAC5",0.583767704770038
"TYW5",0.583662420460895
"KDM1B",0.583
"CALCOCO1",0.582650469607478
"TTTY14",0.581588139157873
"SRSF1",0.58004252671933
"ABHD12",0.579
"HUWE1",0.579
"PTPRZ1",0.579
"TMEM45A",0.578
"M6PR",0.577219287243004
