"","dPSI_NGN2_2135644.1uM"
"WDR19",0.513323965766495
"RPF2",0.509880723099426
"AC010538.1",0.50876909693938
"NCOR1",0.508
"INVS",0.505226473954694
"LDAH",0.503352120326339
"WASH6P",0.503173723698569
"TXNL4B",0.502404030779428
"C6orf58",0.502
"SREK1",0.502
"APAF1",0.501632623523401
"FBXO10",0.499341943395261
"ARMCX6",0.498
"MYT1",0.498
"RCC1",0.497453101728816
"MTMR1",0.494842266331397
"PIK3CD",0.493993926600983
"ADAM23",0.492482414187739
"RERE",0.491132178503801
"SKP1",0.491
"MUTYH",0.486795620911063
"RPS6KB2",0.485
"WASHC4",0.481500839287387
"VDAC2",0.476171169038366
"LINC01011",0.475540081015768
"FNIP2",0.471419003054199
"KLHL1",0.466758828000317
"NELFA",0.465797517625959
"URGCP-MRPS24",0.463697468306855
"PGGT1B",0.460948750941609
"CCDC32",0.458569783646712
"ATG4A",0.458
"TENT2",0.45786907693457
"C19orf47",0.456038939406218
"ZBTB41",0.454678047869377
"SMC5",0.452408755806284
"ARID1A",0.452292652011379
"PMS2P10",0.450934311340699
"CDC42BPA",0.448
"DDX50",0.446254233261051
"EIF2D",0.445
"STIM2",0.445
"CDR2L",0.444435579125194
"TNPO3",0.444
"TBCA",0.438440595975874
"NEDD4",0.437512820591602
"SPRYD7",0.437489972787008
"SNX24",0.434473361363153
"MYO6",0.434427731631873
"VPS13A",0.434330573284917
"CBWD3",0.433263126561497
"SNX15",0.432
"FAIM",0.431993163518417
"ASCC3",0.431923956679972
"FGF14",0.430475530729144
"ABHD10",0.429
"SERGEF",0.427
"SLC35A5",0.426780140434497
"PHACTR1",0.426663539912291
"MAN1A2",0.425436396342364
"AC138894.1",0.424
"PPIP5K2",0.422671622560064
"CLN3",0.422
"VAMP4",0.421027512235873
"SNHG17",0.42
"SGCZ",0.419216685925379
"BICRA",0.418117315138035
"TMEM117",0.417196814541638
"WNK2",0.415028926011272
"OSGEPL1",0.415
"SNHG15",0.415
"ETV4",0.414322458258231
"ANKDD1A",0.414223700214545
"DIPK1A",0.414075857903765
"SH3YL1",0.414
"CAB39L",0.413528471023027
"ACADM",0.412
"RUNDC3B",0.412
"IL6ST",0.410600455330282
"AKAP7",0.409871841170062
"MTRF1",0.40814577155645
"HMGN1",0.408
"SPDL1",0.405044964044592
"SLC25A17",0.405
"PPP3CA",0.404448137693532
"AKAP9",0.402306349798791
"RARS1",0.402206229864136
"FAM161A",0.401660610719738
"DMXL1",0.401584528999357
"MAN1B1",0.4
"DCAF17",0.398
"OSBPL5",0.397830593235076
"SNX4",0.394268521844579
"DENND4A",0.394
"WSB1",0.394
"SLC38A1",0.393660998016769
"WNK1",0.393
"NEGR1",0.39070992994051
"CCDC88A",0.39
"ADAM17",0.389
"VCAN",0.389
"VPS29",0.388
"BICDL1",0.387379778120687
"EPM2A",0.387097851366738
"COPS5",0.386337374793898
"OTUD7A",0.385799808385017
"MEAK7",0.384975798914477
"ATXN1",0.384563395024325
"CFLAR",0.38332907989958
"JAZF1",0.383323884390154
"HDAC2-AS2",0.382683886319876
"ANK2",0.382231147378829
"CLTC",0.382
"CD47",0.380009606804413
"MTMR3",0.379536080234672
"CACNA1H",0.378
"AGGF1",0.377
"CNOT1",0.377
"TP53INP1",0.377
"ERRFI1",0.376877328470971
"KIF21A",0.375692029659857
"RAD21",0.3734247212595
"FUCA1",0.370042819846897
"CNNM2",0.366687225143285
"KIF26B",0.366227195335254
"FAAP20",0.366
"TSPAN7",0.366
"LMF1",0.365349966000139
"DNAJC27",0.364389298156833
"COPS7B",0.364
"POLG",0.364
"STRN4",0.363
