"","dPSI_iPSC_2070692.5600nM"
"ASAP1",0.996
"C12orf4",0.993364560520224
"MLLT10",0.984809306150674
"DIAPH3",0.971000246227356
"POMT2",0.969
"TMC3-AS1",0.962088839028051
"KDM6A",0.952
"CENPI",0.946129699496768
"PDIA5",0.935615637556525
"SEC22A",0.933664950458081
"CHD9",0.928
"EMSY",0.926347994881932
"TASP1",0.926257928223931
"MAN1A2",0.92125109060816
"GALC",0.919041807122389
"CRYM",0.91903674267015
"PDXDC2P",0.903114308095755
"AC009022.1",0.902461567533717
"HTT",0.898170716833147
"EVC",0.895984741884606
"RBBP8",0.893
"CDC37L1",0.891541093600361
"LARP7",0.891
"SNAP23",0.891
"MMS22L",0.887449234429643
"SPIDR",0.884135413864494
"FBN2",0.880100479501938
"SREK1",0.879
"SYN3",0.867112599827942
"SOS2",0.862928804184112
"AC104109.3",0.86056950356303
"MFN2",0.859
"FAM162A",0.858
"NAV2",0.857
"CIP2A",0.852178007588625
"ZMYM6",0.849122322882028
"ANXA11",0.845
"SCO1",0.84
"LINC02210",0.834
"ABCB8",0.833
"STXBP6",0.82664743779005
"ARAP3",0.821752971170328
"ZFP82",0.812683925562438
"HSD17B12",0.812054120298191
"PIGN",0.810714347773342
"RAF1",0.81
"IFT57",0.809834081506353
"HSD17B4",0.806903386896563
"DHFR",0.806508513476939
"HDX",0.804
"PDE7A",0.804
"PNISR",0.803581431542757
"LNPK",0.801404935025283
"RAB2B",0.800401125496869
"FGF12",0.792661203595278
"WDR27",0.789735230992094
"PRKG1",0.786921124626296
"ERGIC3",0.783
"RPS4X",0.773988092414171
"ARHGEF35",0.772768518262679
"DLG5",0.76879606733411
"USP43",0.758781646253326
"VWDE",0.758586219502187
"AC114490.2",0.756361926837332
"LYRM1",0.754
"SAR1A",0.751614479202135
"ANKHD1",0.75109055995265
"GXYLT1",0.748910638424775
"STX18-AS1",0.747768951613878
"LRRC42",0.746
"TMEM214",0.742522666183094
"XRN2",0.741361604722057
"CACNA2D1",0.740342280863768
"ANKHD1-EIF4EBP3",0.739627235184562
"PITPNB",0.736049499609519
"AXIN1",0.736
"DPH1",0.728735044534826
"VPS29",0.728
"MATK",0.725209180743592
"EXOC6B",0.724
