"","dPSI_iPSC_2006152.150nM"
"C12orf4",0.909842765763971
"ASAP1",0.867
"ARL15",0.856052552302831
"AC009022.1",0.8036194461417
"POMT2",0.798
"ADAMTS19",0.796548229371506
"HDX",0.757
"AC104109.3",0.741474290522977
"HTT",0.725180960750915
"PDXDC2P",0.709432250138862
"MATK",0.701375833971047
"LYRM1",0.623
"KDM6A",0.62
"NAV2",0.616
"FBN2",0.588013575521796
"SKP1",0.5870624763278
"CENPI",0.585838308019039
"LARP7",0.585
"MADD",0.576
"PDE7A",0.575
"LRRC42",0.555
"ERGIC3",0.554
"EXOC6B",0.554
"CLASP2",0.552851794744221
"FOXM1",0.544
"SENP6",0.54
"COL4A5",0.539464097062392
"ZNF730",0.532364155566868
"ZFP82",0.531898386629335
"LINC02210",0.530319038028799
"C14orf132",0.516384186931753
"ZNF66",0.49905664076187
"RAB2B",0.497787308505979
"STX18-AS1",0.484851856305815
"TPTEP2",0.478
"MYCBP2",0.465
"GPSM2",0.464458658990692
"TMEM241",0.463186055503981
"HSD17B4",0.456925268775503
"RAP1A",0.45
"TAB3",0.439
"VPS29",0.434
"TMEM214",0.432395125091843
"BRD2",0.430086769500482
"PDXDC1",0.420441818511867
"TAF2",0.42
"MAN1B1",0.419042986765688
"GRAMD2B",0.418
"KCNT2",0.415320482500778
"WDR27",0.415103670452884
"BECN1",0.402705818506793
"FAAP20",0.396
"FAM162A",0.384705801143666
"PLCH1",0.382720329543449
"ABCB8",0.382
"MMS22L",0.381716039029091
"FGF12",0.380862626930043
"APLP2",0.38
"TARBP1",0.379928654146361
"ANKRD18CP",0.373354729775389
"ADAL",0.37194231335924
"AXIN1",0.37
"ODR4",0.367787044502247
"TNRC6A",0.366518194549096
"DLGAP4",0.362435626736614
"RAF1",0.355
"OXSM",0.354
"GGCT",0.353827021458213
"STOX2",0.351506929287748
"PLPP5",0.351
"DENND5A",0.349796924303802
"LINC00667",0.344
"CLN3",0.342
"ZMIZ2",0.342
"TIAM1",0.341354851860071
"NUP58",0.341
"RCC1",0.338047885336484
"STRN3",0.332
"PNISR",0.331651894632186
"STRN",0.33140746422168
"AC138894.1",0.327
"ZNF618",0.322253326659299
"MLLT10",0.32119863616919
"TMEM50B",0.320941511445604
"TENT2",0.319705418126139
"FGFR1",0.314
"XRN2",0.313239005360186
"FAM174A",0.309079001410784
"TCF4",0.30793249156692
"SPIDR",0.307170260385266
"GCFC2",0.301696044774199
"SAR1A",0.301130772568231
"WNK1",0.299392115595276
"KIF21A",0.296603247184317
"DHFR",0.28910471086364
"CACNA2D1",0.282407454352278
"CHD9",0.277551724089937
"SH3YL1",0.273600516018915
"APIP",0.272743530245703
"SF3B3",0.258238499216375
"PPIP5K2",0.255080692697364
"LNPK",0.254294641450008
