"","dPSI_iPSC_2135644.1uM"
"ASAP1",0.987
"AC009022.1",0.97576619087277
"POMT2",0.974
"STXBP6",0.964887507607796
"ARL15",0.957
"TASP1",0.95421513323033
"C12orf4",0.943915690634869
"TMC3-AS1",0.943195221159577
"CENPI",0.941207037361016
"HSD17B12",0.935889964656037
"KDM6A",0.929
"AC068205.2",0.921779897250472
"PDXDC2P",0.920033143236633
"GALC",0.920021271231686
"COL4A5",0.914899302760462
"HTT",0.912510034131587
"SNAP23",0.9
"FBN2",0.893131291163944
"SOS2",0.891594489125051
"RPS4X",0.886953660904374
"MAN1A2",0.88692826291489
"CMSS1",0.88
"TIAM1",0.8705939853038
"STX18-AS1",0.866866082870803
"MLLT10",0.863631262845581
"AC104109.3",0.856920070230098
"MATK",0.847961389850182
"ZFP82",0.847467038958416
"CRYM",0.844182012890894
"PDXDC1",0.836599261331226
"EVC",0.835764277765878
"MMS22L",0.831127836776392
"FAM162A",0.825
"EMSY",0.82210203630757
"ZMYM6",0.816088375529152
"HDX",0.804
"MFN2",0.804
"LNPK",0.803338443154378
"NAV2",0.798
"PDE7A",0.783
"LYRM1",0.774
"GCFC2",0.771244298526695
"EXOC6B",0.766
"ERGIC3",0.765
"SKP1",0.764765817599138
"SPIDR",0.75890765931829
"SLC12A2",0.758505741622055
"CYB5B",0.756571539609067
"LARP7",0.753
"FOXM1",0.747
"RAF1",0.742
"TPTEP2",0.742
"TET1",0.740603204493692
"C14orf132",0.740042031678106
"ADAL",0.739387342012375
"HSD17B4",0.739273812976407
"DHFR",0.726102362777019
"RAB2B",0.724245496596646
"ZNF585B",0.722308778259743
"LRRC42",0.722
"APIP",0.718921053176888
"ANXA11",0.718
"AXIN1",0.715
"PRPF31",0.711931258948562
"ASCC3",0.710902944822674
"SF3B3",0.709034397183028
"AC114490.2",0.702768590889457
"VPS29",0.699
"SNHG16",0.696
"PPIP5K2",0.695039205942695
"RAP1A",0.695
"GPSM2",0.693175004058667
"CDC37L1",0.689118687167145
"ZNF138",0.678425283288285
"TMEM214",0.677237778327095
"FAM174A",0.671
"XRN2",0.668906910077603
"CLASP2",0.656
"ANKHD1-EIF4EBP3",0.654323708722543
"ANKHD1",0.653909583153432
"SYN3",0.653200937456404
"SAR1A",0.652863793850232
"TAF2",0.652
"GXYLT1",0.651528116201439
"PPP1R26",0.648437539484268
"RNF144A",0.646204693824117
"DCAF17",0.643865843097869
"CIP2A",0.638098538121927
"DPH1",0.637142974705274
"ABCB8",0.637
"ODR4",0.636181871223296
"FAM149B1",0.629502932712108
"APLP2",0.628
"WNK1",0.627433813567517
"C1orf94",0.625313493153214
"CYB5R2",0.622
"MMS19",0.620735630407014
"SENP6",0.617
"PNISR",0.614718091581546
"ZNF730",0.612636409296373
"PRKG1",0.61105175609779
"ZNF680",0.599482909524799
"PRUNE2",0.59748508248704
"PIGN",0.595160468524061
"IFT57",0.593835648601104
"NUP58",0.593
"HIKESHI",0.59
"DENND1A",0.585321464268478
"ENAH",0.583347697769687
"ZFYVE26",0.581405048949015
"TANK",0.580223546541573
"EXTL2",0.577846554014289
"ABHD10",0.575
"USP43",0.573062147885369
"ZNF618",0.569
"SUPT20H",0.568136696997477
"TENT2",0.565774643991003
"AC009533.1",0.562101129595219
"SLC25A17",0.561
"BECN1",0.559976938688321
"RBBP8",0.554
"MADD",0.553
"CCT7",0.552
"ZNF66",0.552
"AC008581.2",0.54409480843148
"CACNB1",0.541831170210005
"FES",0.54181124731466
"VAV2",0.533806440271952
"NIPA1",0.533011084849913
"CTTNBP2",0.532445781684499
"OR2A20P",0.528
"FGF12",0.52587646812851
"ARAP3",0.524516171407388
"HS3ST5",0.524250053009098
"CLK4",0.518
"MYCBP2",0.518
"LINC00678",0.516986125575831
"PIEZO2",0.516798151344709
"TRIM37",0.515761983472222
"AP002784.1",0.515631874576976
"CA5B",0.510225766018851
"CEP164",0.509686999083707
"L3MBTL2",0.509587264467793
"ARHGAP5",0.5048006758554
"SH3YL1",0.504
"CEP162",0.499493424477479
"ADAMTS10",0.495816479353619
"ZMYM2",0.495
"CREM",0.487291024433308
"STOX2",0.485260115716447
"TCF4",0.485094748808412
"SCO1",0.482
"TSPAN7",0.479
"MRPL39",0.477735174344763
"ADGRL1",0.475920148852253
"RAPGEF1",0.475
"CLN3",0.471
"TASOR2",0.469
"AC138894.1",0.468
"RPS10",0.467681061471102
"DDX42",0.467585706491404
"DLGAP4",0.465
"DLG5",0.463466210140803
"GRAMD2B",0.462
"GNS",0.453019149169505
"CHD9",0.453
"BBOX1-AS1",0.451896316446323
"RSRC2",0.451
"SREK1",0.451
"LINC02387",0.450360991137149
"URGCP",0.44984696170889
"RASGRP2",0.447027196743291
"SOCS6",0.441152142280819
"OCLNP1",0.439362127555605
"DENND5A",0.436
"UBP1",0.434
"ADAM17",0.431122586616257
"KCNT2",0.429993613998327
"OCLN",0.425213446892789
"PLCH1",0.422243922209546
"STRN4",0.421840896832152
"SERGEF",0.417745861259722
"TJP2",0.416313096851915
"MDM4",0.416
"MTMR3",0.414590737919703
"ZNF350",0.414205546591846
"PRKACB",0.413929875362182
"AGGF1",0.413692933902458
"ATAD2B",0.411109101622192
"TXLNGY",0.409
"CACNA2D1",0.408128464212326
"FRYL",0.40756963599161
"PVT1",0.405201611008097
"AC009446.1",0.403527692453252
"COP1",0.402574670992181
"CNTN1",0.401489266257633
"HIP1",0.400855936580694
"WASHC4",0.397392914594077
"TMEM50B",0.397
"KIF3A",0.396
"RERE",0.395409165955988
"USP9Y",0.393311017120505
"XPO1",0.39
"PIGO",0.387902529014009
"LINC01145",0.387294800226161
"ERC1",0.387023373209051
"RCOR3",0.385688208322127
