"","dPSI_NGN2_2060573.10uM"
"POMT2",1
"SCO1",1
"GXYLT1",0.999999999934327
"USP9Y",0.999999999884477
"ZMYM6",0.997134138320782
"PCDH10",0.992298876033453
"THADA",0.991
"C12orf4",0.989578802430864
"PDE7A",0.986
"GABRB2",0.984240949248129
"PIGN",0.982402797656307
"KDM6A",0.982
"LINC02210",0.977952673525122
"GCFC2",0.976609976789102
"AC068547.1",0.974358138690219
"MLLT10",0.974321708565123
"AGPS",0.970921780898932
"SLC24A3",0.970163298407038
"MDN1",0.969935743609495
"RAF1",0.967
"FUT9",0.965961108272598
"CDC37L1",0.965352644059498
"CNGA3",0.962
"WDR27",0.961748923911276
"CACNB4",0.961
"PRUNE2",0.95989402338785
"ARL15",0.958
"APPL2",0.956653970091596
"AC008581.2",0.954595500591056
"PRKG1",0.951793360881269
"PDXDC2P",0.950631073393316
"AC009022.1",0.950343814701542
"ARHGAP5",0.949533797885148
"PDXDC1",0.94321913198898
"SOS2",0.941964649827222
"IVD",0.940142033506515
"ODR4",0.939756286188386
"FBXL16",0.93964691112229
"BECN1",0.938619731265535
"PITPNB",0.937945921557474
"LARP7",0.937
"SNX7",0.934801912378535
"SUPT20H",0.933175182296149
"ATG2B",0.931
"ELP4",0.931
"SETX",0.930431730737442
"ATP8A2",0.930369648446648
"GALC",0.927
"SLC41A3",0.923267483297436
"ENOX1",0.922073766759646
"DHFR",0.920259999065652
"NLN",0.9191856877984
"DENND1A",0.916534226122073
"LNPK",0.9046192636571
"MACROD2",0.899337816952316
"XRN2",0.89764682067587
"MFN2",0.897
"LIMCH1",0.896
"LRIG2",0.895417813276897
"RBBP8",0.892
"CYB5B",0.891884326445404
"BTBD10",0.891049015705661
"EXOC6B",0.891
"NLGN1",0.888465845660212
"AC026786.1",0.88667309174502
"TAF2",0.885
"ABCB8",0.883
"DENND1B",0.881355580288962
"ZNF680",0.880913759491671
"CHRM2",0.879509700017607
"HSD17B12",0.874754457476561
"WNK1",0.873539815979337
"SPIDR",0.871459867958729
"AXIN1",0.87
"CACNA1C",0.864
"FAM162A",0.864
"ADCY8",0.861949096268319
"FHOD3",0.857555582986045
"HSD17B4",0.857527541923298
"ZNF138",0.856960666733095
"SEC22A",0.856143508450255
"LRRC28",0.855709647897912
"DPY30",0.854640219258796
"ZDHHC17",0.851231664002084
"DLG5",0.84843520889213
"PPP3CA",0.848118492828395
"STX18-AS1",0.846612949555019
"IFT57",0.844462818939437
"GNAQ",0.843505242134714
"C14orf132",0.843
"URGCP-MRPS24",0.8425615885035
"THSD7B",0.840725810338496
"DNAJA4",0.836711927390433
"HTT",0.835869308541199
"TIAM1",0.832336553976022
"PDS5B",0.83189117495958
"LRRC42",0.831
"MAN1B1",0.831
"ENAH",0.830619782938036
"FCHO1",0.82998574264111
"AC114490.2",0.824192273636595
"NUP58",0.821
"ARMH3",0.820264980420581
"PDIA5",0.81943467994759
"EMSY",0.818251930761599
"DPH1",0.817410437242716
"STOX2",0.817161923809177
"MYT1L",0.816438469746452
"FGD4",0.816
"AC022433.1",0.813696763480074
"ADAMTS10",0.813393687578126
"VSTM2L",0.81230141219068
"APLP2",0.812
"NKAIN2",0.807065727307537
"CLASP2",0.800499460802927
"HDX",0.8
"PRPF39",0.799279290419793
"ZFP82",0.797819589494591
"MAST4",0.791143457465966
"L3MBTL2",0.787
"DDX42",0.786586749697959
"DMXL1",0.7850974403589
"LETM2",0.78457385708433
"ERCC8",0.781
"DGKI",0.776273035875899
"AC068205.2",0.775799872405166
"NSUN4",0.772922663383347
"GLRA3",0.772798629854773
"SMC5",0.772754954139067
"ZNF730",0.771413170244148
"DOCK3",0.771260162513008
"AC114316.1",0.766442509320862
"DENND4A",0.766
"TMEM214",0.765480715858352
"SENP6",0.764
"PTPRT",0.761710524562298
"AGK",0.760986947296318
"SGK1",0.757952033174652
"MANEA",0.755141030573729
"MYO5A",0.75036020595871
"SLC35A5",0.746159055588893
"LUC7L3",0.74539599138561
"TPTEP2",0.745
"SPATS2",0.741611804341812
"ADGRL1",0.741040342008513
"FBXO7",0.737
"ERBIN",0.734968947999731
"RARS1",0.734557421921454
"NIPA1",0.734
"APIP",0.73356857173038
"SNAP23",0.731
"ARMCX6",0.73
"LYRM1",0.729
"CSTF3",0.726960141209896
"AL390879.1",0.726478823213977
"SAR1A",0.72509845990694
"PLXNB1",0.719632330033298
"ZNF10",0.717944328548183
"TASP1",0.717151614398702
"ZNF804A",0.712813102175173
"CCDC3",0.704024533238924
"MRPL39",0.704
"CDCA4",0.702862829440534
"PCM1",0.701619311907012
"PSMB1",0.698412196710834
"BLMH",0.696141620314556
"TOE1",0.695635616985072
"VDAC2",0.694169965084421
"GRIA1",0.693877736423836
"PRKACB",0.692454829395203
"AL031315.1",0.69224893599544
"MTERF3",0.690083093860892
"INVS",0.689986625737575
"PCDH9",0.683081339933019
"RAB23",0.671055551595369
"FAM124A",0.670008478967749
"MELTF",0.668655117572835
"VAMP4",0.667372954907611
"MMS19",0.666709899685792
"SF3B3",0.665501221744847
"SSR1",0.664891275604617
"RICTOR",0.662256662343479
"NEGR1",0.661363329207771
"ZNF618",0.658
"SSBP1",0.655
"ANKRD13C",0.652755594887023
"ADAL",0.649
"SREK1",0.648
"RPF2",0.647337610927346
"CDR2L",0.644998648776394
"HAUS3",0.643682634882088
"ANP32A",0.64343540654472
"SULF1",0.643286713770326
"CHD9",0.643
"JAZF1",0.639292356115125
"LMBRD2",0.638417506118057
"VPS41",0.637854129885009
"ERRFI1",0.637514604174205
"RAD21",0.636496039688995
"CACNA2D1",0.634058384199818
"MATK",0.633126458502181
"RAB11FIP2",0.632629590012599
"CDH18",0.63220735366713
"LGALS3",0.632128337818272
"FUCA1",0.630308724427395
"RAPGEF1",0.628
"ANK2",0.621
"VAV2",0.620367364711615
"CUL3",0.620070789443653
"CU638689.5",0.619189872260748
"OBSCN",0.618827951405611
"MRPS31",0.618464872528174
"TMEM50B",0.615
"RERE",0.614203454202746
"CTTNBP2",0.613830790624749
"ZBTB41",0.605714352520161
"FGF12",0.604662717794154
"SEPTIN2",0.603706804431828
"TRIM27",0.6
"AVL9",0.599649997021137
"CD47",0.5965629722755
"ZMYND8",0.596494155947806
"GLRB",0.596
"PGGT1B",0.595753547526185
"HIKESHI",0.595
"NBL1",0.593834852050629
"PBX3",0.593342950246079
"ATG4A",0.593
"ZMIZ2",0.593
"ELMO2",0.591
"TBCA",0.58822823619586
"PCID2",0.58795864856708
"TXNL4B",0.586570688213638
"FAM174A",0.579
"KIF26B",0.57702779846137
"RNF144A",0.575715094024046
"ZNF253",0.574784579750616
"CAB39L",0.572039965210364
"RGL1",0.571860664570556
"STRN",0.570520682373142
"ARMC2",0.569515134071876
"AL049650.2",0.568676594264053
"DNAJC27",0.567680142269509
"NCOR1",0.567
"CCDC122",0.56443935920493
"STXBP5L",0.558813776746836
"ZSCAN25",0.557143206480296
"LINGO2",0.554904190719682
"ARID1A",0.554117180481625
"RCC1",0.553973442641919
"SF3B1",0.552
"RAB2B",0.551549837446732
"AL157871.6",0.547981232976054
"RAP1A",0.547
"SLK",0.544773862112194
"NR1H3",0.544488600368365
"EBAG9",0.543821586828333
"PTPRD",0.543777546896017
"P4HA2",0.543213529570631
"DNMBP",0.542978686668475
"HOMER2",0.542796486047299
"CNTN1",0.538666462041687
"SNX24",0.538156515110168
"OSGEPL1",0.537
"WDR17",0.537
"TET1",0.534861981626812
"CFLAR",0.529012687062935
"PHACTR1",0.528236235083865
"KRBA1",0.522459501883687
"USP45",0.521882106936692
"URGCP",0.520675352413853
"TENT2",0.517749710078309
"KIF21A",0.517259525828565
"FNIP2",0.516828009636729
"SORCS1",0.516
"PABPC1",0.513
"SKP1",0.512
"ASCC3",0.511979327571903
"AC010538.1",0.511848585364864
"AC083899.1",0.511296207879743
"ATF3",0.51
"AP004608.1",0.509
"STAT1",0.509
"SLC7A6",0.506
"LINC01011",0.505792665354153
"PEPD",0.503
"ZNF417",0.502774133938051
"SKP2",0.502020930473567
"MTMR3",0.50061404078445
"AP003108.2",0.50016869143956
"PIK3CD",0.499414904021668
"KCNIP1",0.498
"SH3YL1",0.497
"LRRC6",0.495849342837885
"ADAM22",0.495
"ANXA6",0.495
"SVOP",0.493155637597554
"P4HA1",0.492495941154062
"CACNA1H",0.492
"MAN1A2",0.491789248634935
"FBL",0.491687553512618
"SPRYD7",0.490087643393909
"FASTKD1",0.488903564962259
"IL6ST",0.488
"PTPRO",0.484400333931244
"TSPAN2",0.484344455032855
"SEMA6D",0.483350701746859
"ATP7B",0.483
"NQO2",0.483
"CSMD1",0.482797433268717
"C19orf47",0.481315869995965
"FAM81A",0.478270009382124
"DIPK1A",0.477175801149321
"DGKZ",0.477
"DLGAP4",0.477
"SLC2A13",0.475862897448644
"PRICKLE1",0.475442340728096
"CTNS",0.475322833387916
"MORN1",0.474725756405176
"SLC12A2",0.474549099854775
"KLHL1",0.474014182113517
"SLC25A41",0.471140351352061
"ING3",0.471077767150159
"ERC2",0.469065244238143
"CRYL1",0.469
"VPS29",0.469
"GAS8",0.467680806883576
"CEP57",0.467
"DPH6",0.466110610002469
"ADAM23",0.465371658752787
"PELI1",0.463064817705848
"DENND5A",0.463
"NELFA",0.463
"NRL",0.462984675718896
"FGF9",0.46229520899367
"DCUN1D4",0.462
"AC055811.2",0.461950062719382
"WDR91",0.461
"NAA25",0.460225571806429
"KIF1A",0.458551339698275
"CHN2",0.458506609778554
"ZNF266",0.458
"CCDC30",0.456045897712865
"WASH6P",0.455472081292561
"DCAF17",0.455
"OPHN1",0.453355890503996
"CBS",0.453069589359313
"DPYSL5",0.453001704990451
"CEP170",0.452
"KDSR",0.451
"TNFRSF25",0.451
"ZDHHC13",0.45
"LARS2",0.449
"SNTG1",0.448697555588677
"PPP2R2D",0.448520660988744
"HMGXB4",0.444391910740772
"MAP4",0.444
"FLCN",0.443653163454189
"RBKS",0.442149891159562
"ACADM",0.441
"AKAP8L",0.44042089162357
"YPEL5",0.44
"STIM2",0.439
"FBXO31",0.438983486404913
"TP53INP1",0.438
"FAM3A",0.434673487205947
"TMX3",0.434316303242485
"DENND6B",0.434218115870473
"SRGAP1",0.434006573381368
"SETDB2",0.434
"SNHG17",0.433
"ETV4",0.432116392662407
"HPS4",0.432
"OSBPL11",0.431549115791985
"SYNM",0.430109557019797
"CHKB-DT",0.429418037237358
"TARBP1",0.428406137784951
"SERGEF",0.428
"LDAH",0.427526709773352
"SYBU",0.426637963999791
"FAIM",0.42600030865284
"ATF6",0.424890382665247
"RAB3IL1",0.424046212926473
"VPS13A",0.423360460264915
"EFHC1",0.423
"DNAJC13",0.422779470840861
"RFT1",0.422545959965287
"COG3",0.421056656485857
"AGGF1",0.421
"SNX4",0.420791661941255
"DIS3L",0.41986609730773
"ARHGAP1",0.419757966350784
"MUTYH",0.419
"LIPM",0.417943705116986
"UVRAG",0.417632293602716
"QPRT",0.414097620046124
"HPS5",0.413699555718804
"ICE2",0.412974522673726
"GPHN",0.411
"EXTL2",0.410900420836533
"MINDY2",0.40967671502734
"SBF2",0.409104572664569
"CWC27",0.409026468947407
"CLEC16A",0.409
"TUT4",0.40813994726713
"FOCAD",0.407419720153165
"BIN3",0.407006638697251
"AC138894.1",0.407
"DYRK1A",0.407
"CLN3",0.406
"FAM207A",0.405516879110678
"SCAMP1",0.405051713356699
"COPS7B",0.405
"MYO6",0.404335374760833
"SLC8A1",0.403
"LRSAM1",0.402635243139358
"NEK11",0.402062452661873
"CNOT1",0.402
"EIF2D",0.402
"KLF7",0.401237744400496
"CEP85L",0.399879563387283
"HECW2",0.398469911623848
"RUNDC3B",0.398
"LINC01881",0.396984538589136
"PCLO",0.395442766962895
"GTF2H2C",0.395110207404624
"SERINC3",0.395099148211879
"ADAM17",0.395
"PRKAA2",0.394155610571669
"EP300",0.393549935739034
"MEMO1",0.392
"SNHG16",0.392
"EPM2A",0.389408474249956
"NRXN1",0.389064098960255
"SPTLC1",0.389
"WSB1",0.389
"KIRREL1",0.388715509562938
"SORCS3",0.387547256724918
"MYT1",0.387
"MRPL16",0.384497754421434
"DDX50",0.383479713933449
"CCNT2",0.383381790255502
"ARFGEF3",0.38315909218045
"PRPF31",0.383003034027446
"TSPAN7",0.383
"NF1",0.382822798276739
"KIAA1109",0.382705359043327
"PARN",0.381079258344814
"ERC1",0.379357884945027
"UBAP2L",0.376215431298049
"C1orf21",0.374039410908196
"INO80",0.374
"DUS4L-BCAP29",0.373550757465158
"LINC00957",0.371804471202985
"CDK5RAP3",0.37
"PMS1",0.369
"DAAM1",0.366193717132615
"APAF1",0.364793946476338
"AL157778.1",0.364
"PLEKHA1",0.363762632239671
"PIK3R1",0.363313754896701
"CPLX2",0.363266174137953
"WDR37",0.363
"USP39",0.362845396815928
"CLOCK",0.362334936361838
"PIGU",0.360833813581159
"RBFOX1",0.360824424391677
"ARHGEF4",0.360764604223246
"ATXN7L2",0.359191767971034
"VCAN",0.359
"DNASE1",0.358
"MSL3",0.358
"PRKDC",0.358
"FAM161A",0.357502424026583
"ERCC6L2",0.356919083144313
"CEP95",0.35688663311735
"PLPPR1",0.353895180477241
"GTPBP8",0.353
"KLHL4",0.352
"RIPK1",0.351789682345949
"BSDC1",0.351243049951078
"CCNB1IP1",0.351202373374097
"LINC00963",0.351
"MAPK10",0.351
"FAAP20",0.35
"TRAF3",0.35
"GARS1-DT",0.349
"KCNT2",0.349
"TRIM36",0.348946695312095
"CPB2-AS1",0.348
"PRDX4",0.347082260261787
"SMIM7",0.347
"ABHD10",0.346
"WNK3",0.345239366263154
"FAM168B",0.345120370361953
"SAFB",0.344802395168978
"RAB3IP",0.344
"GABRB1",0.343532243038783
"GAREM1",0.343486663466581
"ABLIM1",0.343
"SLC25A17",0.342
"FBXO8",0.341710121386101
"ZNF687",0.341
"TSTD3",0.340345554561515
"SGIP1",0.340270028695008
"AC010642.2",0.34
"STRADB",0.338283764043817
"GARNL3",0.338
"SGPL1",0.33511455230939
"TTLL3",0.335
"NUDT22",0.334
"NAV2",0.333
"CBWD4P",0.33278272623129
"EIF3M",0.332261404895667
"CAMK2B",0.332
"DGKB",0.331258674025555
"ASNS",0.331
"ILK",0.331
"IGSF3",0.330895541959973
"AP1S2",0.33
"IMPDH1",0.33
"RPS6KB2",0.33
"PNISR",0.328057392862766
"IQCK",0.327
"STRN3",0.326
"ZNF350",0.325418907214284
"AKAP9",0.325
"CDK16",0.325
"MEAK7",0.324738142056477
"GNA13",0.322022932622249
"AP2A2",0.321979766239815
"LMAN2L",0.32195736867412
"CMSS1",0.321
"SEZ6L",0.320946187428933
"TAMM41",0.320202576766999
"RDX",0.32
"AC132008.2",0.319723201108639
"CHROMR",0.318
"ZNF767P",0.318
"MED13L",0.317586023285469
"TXLNGY",0.317
"MAFK",0.316186787476317
"SCRN2",0.316
"WASF1",0.316
"NT5C2",0.315277700427222
"HYAL3",0.315
"WDR19",0.314468842390721
"PPHLN1",0.314
"RCOR3",0.314
"SNHG12",0.314
"ASCC2",0.313774651945455
"MARCHF8",0.313401878933221
"OGDH",0.312
"BCL9",0.311566504003234
"FKBP7",0.311
"GGCT",0.311
"AHI1",0.310991810406198
"TPGS2",0.31
"MRPL33",0.309
"MYCBP2",0.309
"MCAM",0.3084725708265
"ANKRD13D",0.308363347256682
"DNAJC1",0.308303925744415
"BICRA",0.308280894740913
"SOCS6",0.307133130419642
"RNF130",0.307
"HHLA3",0.30685736016047
"MZT1",0.305758578311533
"WASHC5",0.305
"SYNPR",0.304267441714284
"MMGT1",0.304201233801972
"CLK4",0.304
"CPNE1",0.304
"RIMS2",0.304
"STRN4",0.303
"PPIP5K2",0.302577850526456
"CEP41",0.302089305813163
"DNAAF4-CCPG1",0.302
"CAP2",0.301756105811553
"PIKFYVE",0.301018795011982
"UFD1",0.301
"DIAPH1",0.300445680054681
"TMEM18",0.300325807233294
"RARS2",0.3
"SRSF6",0.299932878355867
"ANKDD1A",0.299183503954387
"AGAP1",0.298479841234934
"DIPK1B",0.296794052563618
"HDAC5",0.29617574910944
"AC104009.1",0.295202010230824
"NR2C2",0.294487655502452
"HSPA1L",0.293479977309461
"MBOAT2",0.293246787460965
"SIK3",0.292907570267058
"MORF4L1",0.290738859575109
"CUTALP",0.290471024725935
"TLN2",0.290319615769535
"MAGI1",0.289601873958426
"CNOT7",0.288575740559122
"ATIC",0.287699148164879
"MAML3",0.287248240342894
"C9orf78",0.286991872793772
"ZDHHC8P1",0.285770479479305
"RAP1GDS1",0.284487796508484
"ATG5",0.284434986031068
"BCHE",0.283307329721782
"WASHC2A",0.280621382503629
"TARDBP",0.280354299688563
"MAP6",0.278405879796601
"HNRNPDL",0.278205661002535
"TNRC6A",0.276910242630601
"AL157834.2",0.276326598287913
"JARID2",0.275309477799707
"TMEM177",0.274884456206387
"HECTD1",0.274842160570255
"ALOX15P1",0.274667357780159
"DENND10",0.274393072992574
"ODF2L",0.273144009969922
"OBSL1",0.273048785730354
"OTUD7A",0.27246660410623
"DAB1",0.270920087204377
"ASH1L",0.270863595373291
"BICD1",0.270863011363612
"TTPAL",0.270591713132607
"KCNC1",0.269698186343699
"DLG1",0.269080296676564
"TMEM87B",0.26777029887648
"AHCYL1",0.267427885955953
"SHISA7",0.265759600178689
"MANF",0.265392548852832
"BPHL",0.264857402441739
"ANAPC1",0.263558966201397
"BCLAF3",0.262726953751852
"GABRA2",0.261879691564872
"ZNF789",0.261400118240102
"MCF2L2",0.261100997815262
"FUBP3",0.260610134684809
"QKI",0.259431129157219
"ENTR1",0.258442713680412
"POMZP3",0.257794516275906
"WASHC2C",0.255980971880674
"ZNF43",0.255687309117909
"PDZRN4",0.255161719109466
"ZFR",0.254652300754794
"PLEKHA6",0.253912978704852
"SMC6",0.251646894977962
"ANKS1B",0.25128662879081
"SPATA13",0.250536470348491
"SYN3",0.250415237425114
