"","dPSI_iPSC_2060573.10uM"
"ASAP1",0.996
"MLLT10",0.98655208332459
"AC009022.1",0.981297748580173
"C12orf4",0.9805950633281
"POMT2",0.976
"TENT2",0.969332109884922
"PDXDC2P",0.966088393323604
"ARL15",0.957
"KDM6A",0.94
"TMC3-AS1",0.938822491542335
"LINC02210",0.938336103338623
"DIAPH3",0.934988284131375
"CRYM",0.928408089091171
"TIAM1",0.909050182301641
"HTT",0.904563108098211
"ZFP82",0.899846840901852
"EVC",0.896495759141581
"MAN1A2",0.881017544604446
"SPIDR",0.879535085837452
"MMS22L",0.872728472651181
"WDR27",0.869452277136541
"ZMYM6",0.867342938236891
"PITPNB",0.861265606790651
"FBN2",0.860356550989402
"CIP2A",0.859821266953847
"AC104109.3",0.859043657830158
"C14orf132",0.855968295647025
"PDXDC1",0.855587013240752
"ERGIC3",0.851
"LNPK",0.847390256142966
"STX18-AS1",0.844097637558394
"NAV2",0.842
"ANXA11",0.834
"DHFR",0.827740421022942
"RAB2B",0.821097445600689
"CLASP2",0.821
"CDC37L1",0.816980330924548
"CMSS1",0.812
"ABCB8",0.807
"ZNF680",0.8042339615306
"HDX",0.804
"WNK1",0.796579800137551
"RAF1",0.795
"TASP1",0.794257556997367
"PDE7A",0.794
"ARHGEF35",0.789555335568153
"RPS4X",0.785062327185755
"SREK1",0.77
"AXIN1",0.76
"ADAMTS10",0.756557217956255
"LINC00862",0.754524714886959
"ANKHD1-EIF4EBP3",0.754279473316973
"AC114490.2",0.753858715313882
"ODR4",0.753158503510971
"PRKG1",0.752863586155914
"LYRM1",0.751
"USP43",0.748128930073724
"ARAP3",0.741266202632705
"IFT57",0.736367823199056
"MTMR3",0.735919290465194
"L3MBTL2",0.734730569780988
"CCT7",0.734
"VPS29",0.733
"TRIM37",0.729993786992189
"MATK",0.729297781057351
"EXOC6B",0.729
"LRRC42",0.725
"RBBP8",0.718
"ENAH",0.717706541803519
"HSD17B4",0.717615879033244
"STOX2",0.716091156982901
"ZNF730",0.711385530950029
"ARHGAP5",0.702487301408199
"ADAMTS19",0.699850847942545
"XRN2",0.692712291697214
"RNF144A",0.691095934602152
"STXBP6",0.690174093457211
"TMEM50B",0.688
"FAM162A",0.687
"ANKHD1",0.686893579664658
"C1orf94",0.67589746436251
"TMEM214",0.674779581305463
"DPH1",0.670086720964771
"CEP170",0.666
"SCO1",0.666
"LARP7",0.664
"TAF2",0.664
"AC008581.2",0.663359432790634
"FOXM1",0.661
"RAP1A",0.659
"PNISR",0.658601535719907
"PRKACB",0.64114457506525
"GXYLT1",0.641119735672169
"ADGRL1",0.634256977351827
"GNAQ",0.632684502239869
"USP9Y",0.631690840441036
"SSBP1",0.63046923170672
"CACNA2D1",0.626650134156461
"TPTEP2",0.625
"ASAP2",0.618
"ATP8A2",0.614907353428692
"DDX58",0.61262214188257
"PIGN",0.607139917697456
"CLK4",0.602
"OR2A20P",0.6
"EMSY",0.596
"APLP2",0.594
"ZNF618",0.59
"CHROMR",0.587
"SAR1A",0.583582667157222
"DENND1A",0.578615595344297
"BECN1",0.577777668884832
"SLC7A6",0.571
"HIKESHI",0.569
"NUP58",0.568
"EXTL2",0.565350154588943
"GPSM2",0.563766097164889
"CEP162",0.562275091453788
"PLCH1",0.558793741350929
"FES",0.558076849599827
"OCLNP1",0.556244139204993
"BX470111.1",0.553070127557013
"JAKMIP2-AS1",0.551438373576997
"LINC00678",0.550512277312336
"OCLN",0.547797689976705
"ZNF138",0.540565681509419
"VWDE",0.538482208058649
"TARBP1",0.536
"TRAF3",0.534897516397665
"PRUNE2",0.534139897381114
"CHURC1",0.532281885339428
"CENPI",0.531501256185874
"AGGF1",0.528526094699395
"APIP",0.528092657517442
"ZNF350",0.525561532346374
"SH3YL1",0.525
"PMS1",0.514432906563884
"INO80",0.514025052060573
"DLGAP4",0.514
"TCF4",0.513608192082732
"KIF21A",0.510383692810045
"DDX18",0.507
"MFN2",0.507
"ARHGAP1",0.506768148353432
"MADD",0.506
"PELI1",0.505821083515125
"CD47",0.504
"THADA",0.503798883008994
"TBL1Y",0.503609859648876
"ARHGEF5",0.503585484396687
"STRN4",0.503
"LRIG2",0.499244851427166
"GRAMD2B",0.499
"AVL9",0.496726243757217
"ZNF585B",0.495571981177147
"TJP2",0.494816594984911
"MYCBP2",0.494
"PPP1R12B",0.492085180992369
"MANEA",0.491601626192947
"ZNF10",0.489880236873968
"HLTF",0.489776250892624
"KDSR",0.48787553615498
"SENP6",0.487
"CACNB1",0.485059224358633
"GALC",0.484
"SEC22A",0.483806296131656
"CTNS",0.480538444552682
"IVD",0.48006900422302
"ZNF66",0.478
"TRIM16",0.477319459502691
"ALDH3A2",0.476509014408837
"COL4A5",0.472852706444418
"UBE2D3",0.468733985636417
"CHD9",0.468
"PDIA5",0.466815863272228
"ERRFI1",0.459249947441156
"GCFC2",0.458733416886472
"FGD4",0.456
"MDM4",0.453
"SF3B1",0.453
"NR1H3",0.45110210465044
"RPS10",0.449414766226797
"RERE",0.447628766823436
"DENND5A",0.441
"HACL1",0.437977656222379
"AC005062.1",0.436139644902438
"URGCP",0.435031923877692
"ATAT1",0.434141403670986
