,dPSI_iPSC.6866.3x,dPSI_iPSC.6866.10x,dPSI_NGN2.6866.3x,dPSI_NGN2.6866.10x
ARL15,0.87813040860126,0.985,0.685,0.79
POMT2,0.759,0.969,0.538,0.901
PDE7A,0.606,0.757,0.4,0.774
LARP7,0.596,0.787,0.55,0.534
KDM6A,0.571,0.86,0.319,0.657
LRRC42,0.559,0.677,0.512,0.65
LYRM1,0.557,0.597,0.382,0.485
ABCB8,0.536303956426213,0.745339744721164,0.548,0.797
ZFP82,0.528590304966814,0.859526530457158,0.344450520743289,0.629639396422502
LINC02210,0.512934694551497,0.814700125156275,0.398474811318386,0.718822641684219
SKP1,0.502484012816618,0.520478267900514,0.371,0.428
CLASP2,0.486989301296945,0.52997189013208,0.381891940166394,0.681936088723976
EVC,0.426385471681067,0.909365859452335,0.487863486235123,0.841361023720308
TAF2,0.408,0.608,0.366,0.676
AXIN1,0.407,0.701,0.309,0.645
WDR27,0.389222947537017,0.375,0.557709407988808,0.913839409288783
DLGAP4,0.34763013902808,0.456,0.393,0.627
STRN3,0.342,0.379,0.305,0.323
DHFR,0.274532027602303,0.628675514729895,0.392871345634654,0.624511391242153
ENAH,0.263306780181705,0.526151891024969,0.264892224467614,0.487372805499111
TENT2,0.260615189126606,0.528821864364151,0.32081074989528,0.455517298111426
PDXDC1,0.257423828460146,0.443124651184855,0.563332324321815,0.86987454828893
RAF1,0.255158311865131,0.588,0.333,0.697
