,dPSI_iPSC.6527.3x,dPSI_iPSC.6527.10x,dPSI_NGN2.6527.3x,dPSI_NGN2.6527.10x
ARL15,0.791351153181068,0.920962420435892,0.632,0.838
SKP1,0.583559417753347,0.586118177494009,0.402,0.448
STRN3,0.504,0.352,0.538,0.349
KDM6A,0.446351407368065,0.587,0.266421134822816,0.62
PDE7A,0.391,0.646,0.369,0.784
LARP7,0.37,0.703,0.419,0.761
LRRC42,0.362,0.574,0.475,0.661
POMT2,0.351570960525668,0.756,0.402,0.915
ZFP82,0.273969686413383,0.594056413890664,0.373389703768346,0.570276514755454
