,dPSI_iPSC.6960.3x,dPSI_iPSC.6960.10x,dPSI_NGN2.6960.3x,dPSI_NGN2.6960.10x
ARL15,0.599247133670562,0.958850447811429,0.68,0.79
SKP1,0.540204637211659,0.530568110137434,0.408,0.325589868177239
STRN3,0.525,0.352,0.584,0.314
PDE7A,0.455,0.717,0.498,0.878
POMT2,0.409,0.877,0.526,0.946
ZFP82,0.381910224835279,0.653949638067893,0.406206439565724,0.66170597357777
KDM6A,0.35,0.691,0.354,0.825
LRRC42,0.342,0.593,0.52,0.702
TAF2,0.34,0.523,0.432,0.674
LARP7,0.336,0.791,0.533,0.564
AXIN1,0.29609619848702,0.566,0.394,0.69
LINC02210,0.284047204002563,0.665317661255518,0.523949059811014,0.88394514035595
