,dPSI_TST11872_iPSC.BIO.1755497.12nM,dPSI_TST11872_iPSC.BIO.1755497.40nM,dPSI_TST11872_NGN2.BIO.1755497.12nM,dPSI_TST11872_NGN2.BIO.1755497.40nM
C12orf4,0.521187328695214,0.842031423276098,0.419325106285347,0.832788694425748
ARL15,0.490006503437198,0.804041236481389,0.601,0.831
POMT2,0.438,0.822,0.803,0.966
SKP1,0.427292204892097,0.604253527583458,0.364,0.458
KDM6A,0.417434005640652,0.595,0.385,0.74
HDX,0.367074410494456,0.696,0.594,0.752
LARP7,0.326,0.592,0.6,0.656
STRN3,0.326,0.328,0.533,0.617
PDE7A,0.323882906392849,0.53,0.554,0.852
DLGAP4,0.257397546585958,0.408937618622176,0.486,0.301
