,dPSI_iPSC.4090.3x,dPSI_iPSC.4090.10x,dPSI_NGN2.4090.3x,dPSI_NGN2.4090.10x
ARL15,0.780424051599279,0.953826225167302,0.758,0.886
MADD,0.557,0.466,0.305,0.347
PDE7A,0.514,0.782,0.559,0.838
LRRC42,0.404,0.621,0.585,0.69
CLASP2,0.381747899183689,0.503054556483188,0.50064185482018,0.689346214910737
ZFP82,0.362057554376766,0.653158179102874,0.381576115175803,0.664352863032894
KDM6A,0.358,0.771,0.357635701354207,0.585
LARP7,0.358,0.753,0.46,0.357
TAF2,0.355,0.426,0.305,0.63
POMT2,0.347,0.829,0.438,0.947
STRN3,0.333,0.36,0.521,0.342
AXIN1,0.301967286346074,0.438,0.336,0.593
EXOC6B,0.3,0.558,0.288798445650941,0.597
