,dPSI_iPSC.6152.3x,dPSI_iPSC.6152.10x,dPSI_NGN2.6152.3x,dPSI_NGN2.6152.10x
ARL15,0.667107268604948,0.968,0.588,0.928
SKP1,0.584729771484126,0.620597136570765,0.361,0.444
POMT2,0.491,0.856,0.439,0.938
SENP6,0.475500179106231,0.645,0.461210397117836,0.537
STRN3,0.381,0.33,0.357,0.317
PDE7A,0.367,0.617,0.316,0.723
LRRC42,0.355,0.596,0.354,0.665
LARP7,0.351,0.325,0.416,0.423
KDM6A,0.309,0.641,0.258655934262757,0.628
ZFP82,0.300268487704534,0.580667814269905,0.294471507549583,0.583007939660401
LINC02210,0.296365418322937,0.530016065726408,0.398914738365771,0.609369323251885
DLGAP4,0.263998259994956,0.465864800570679,0.371,0.593
