,dPSI_iPSC.9701.3x,dPSI_iPSC.9701.10x,dPSI_NGN2.9701.3x,dPSI_NGN2.9701.10x
ARL15,0.75242377275375,0.949564614663541,0.67,0.919
STRN3,0.555,0.418,0.522,0.352
SKP1,0.525610462291676,0.528773231980173,0.309,0.468
LARP7,0.509,0.796,0.496,0.332
POMT2,0.487,0.851,0.432,0.903
PDE7A,0.474,0.655,0.427,0.742
LRRC42,0.395,0.545,0.369,0.629
HTT,0.390239645839322,0.939743360550953,0.559236628586964,0.909734451096415
AXIN1,0.271325566002508,0.476,0.33904706756148,0.507
TAF2,0.269354882656434,0.471,0.38,0.608
ZFP82,0.267730845472732,0.660821852378767,0.368809918991916,0.627665876109282
