"","x","dPSI_iPSC_1755497_3x","x","dPSI_iPSC_1949634_3x","x","dPSI_iPSC_2006152_3x","x","dPSI_iPSC_2059811_3x","x","dPSI_iPSC_2060573_3x","x","dPSI_iPSC_2060884_3x","x","dPSI_iPSC_2070692_3x","x","dPSI_iPSC_2135644_3x","x","dPSI_iPSC_2136770_3x","x","dPSI_NGN2_1755497_3x","x","dPSI_NGN2_1949634_3x","x","dPSI_NGN2_2006152_3x","x","dPSI_NGN2_2059811_3xM","x","dPSI_NGN2_2060573_3x","x","dPSI_NGN2_2060884_3x","x","dPSI_NGN2_2070692_3x","x","dPSI_NGN2_2135644_3x","x","dPSI_NGN2_2136770_3x"
"125",NA,NA,"KIF5C",0.684680081302497,NA,NA,"LNPK",0.316288290830285,"SH3YL1",0.39,"UBE2D3",0.540943256722036,"PIGN",0.371418406912204,NA,NA,NA,NA,NA,NA,"DOCK3",0.79893801233153,NA,NA,"ZNF169",0.50961002087777,"SMC5",0.606094689596237,"PCM1",0.761689957597661,"VSTM2L",0.640857816150532,"PBLD",0.430488947204525,"ZNF804A",0.432402588005084
"126",NA,NA,"LINC00862",0.684092731351666,NA,NA,"SLC25A17",0.312,"RCC1",0.389277202203009,"PLCH1",0.539983775264034,"XRN2",0.366230077161701,NA,NA,NA,NA,NA,NA,"LRRC42",0.794,NA,NA,"NUTM2A-AS1",0.507,"APIP",0.605322947337748,"TASP1",0.757436482474924,"IFT57",0.639152791659476,"LMAN2L",0.427539665579313,"LMBRD2",0.43122945614438
"127",NA,NA,"NT5C2",0.683426067060889,NA,NA,"CCDC88A",0.31,"SETDB2",0.388518723528821,"NUP58",0.538,"SLC7A6",0.366,NA,NA,NA,NA,NA,NA,"OSBPL5",0.793598664744207,NA,NA,"TAF2",0.506,"ZNF138",0.602842826544623,"THADA",0.756,"ANKRD13C",0.636992280823895,"SF3B1",0.427,"KCNT2",0.430952883571399
"128",NA,NA,"PRKDC",0.682758863218975,NA,NA,"STRN3",0.305,"CACNA2D1",0.388306132863321,"SNHG5",0.533,"ZMYM2",0.366,NA,NA,NA,NA,NA,NA,"ZFP82",0.790245397806161,NA,NA,"TENT2",0.505812228761852,"LNPK",0.602381916974603,"SGK1",0.755594119364475,"PNISR",0.634608236693362,"ZNF618",0.425,"SCO1",0.43086988717669
"129",NA,NA,"CPT2",0.682513806139864,NA,NA,"ZFAND4",0.304110970322678,"ANKRD18CP",0.388125608218898,"TMEM50B",0.533,"SCO1",0.365498594894438,NA,NA,NA,NA,NA,NA,"OTUD7A",0.788869585870447,NA,NA,"ELMO2",0.505,"MYT1L",0.59783100658773,"LYRM1",0.753,"WDR91",0.634,"HIKESHI",0.418,"GARNL3",0.429187263207095
"130",NA,NA,"AC104109.3",0.678644006384133,NA,NA,"GGCT",0.301,"GPSM2",0.387477068495488,"ZMYM2",0.533,"WNK1",0.365033469677375,NA,NA,NA,NA,NA,NA,"PIK3CD",0.787721328427018,NA,NA,"RAP1A",0.505,"ZNF280D",0.596775049406679,"DCAF17",0.751892338439437,"SORCS1",0.632552010946932,"AGPS",0.417753599036872,"STXBP5L",0.426489047458357
"131",NA,NA,"CRYM",0.675359221246137,NA,NA,"LINC00667",0.301,"TCF4",0.385182838329271,"OGT",0.527,"PNISR",0.361734612014004,NA,NA,NA,NA,NA,NA,"SPATS2",0.783754506439528,NA,NA,"WSB1",0.501,"DYRK1A",0.595,"CYB5B",0.749796676321337,"SNAP23",0.63,"EIF2D",0.415,"BEND6",0.426
"132",NA,NA,"ADAMTS10",0.67419634999315,NA,NA,"ZMIZ2",0.301,"RSRC2",0.385,"LINC00678",0.525174500939249,"STOX2",0.353852872387257,NA,NA,NA,NA,NA,NA,"AGK",0.783184334899793,NA,NA,"LINC02210",0.498160813027148,"EPHA4",0.59171810980128,"ANP32A",0.744010790351648,"CCDC3",0.625866103846078,"RAB2B",0.413790891999241,"SERGEF",0.423
"133",NA,NA,"GPSM2",0.673000937691513,NA,NA,"ERGIC3",0.299765603388257,"SLC25A17",0.385,"NECAB2",0.521412255048559,"CCDC88A",0.352,NA,NA,NA,NA,NA,NA,"ASXL1",0.780854453347678,NA,NA,"STXBP5L",0.496789297313393,"ZNF680",0.591389750850018,"THSD7B",0.743791849171373,"RAPGEF1",0.624,"SERGEF",0.413,"CHN2",0.422192145698668
"134",NA,NA,"COG3",0.667761502931839,NA,NA,"ADAM17",0.294470473383239,"ZMIZ2",0.381,"PELI1",0.518659248270237,"FRYL",0.351,NA,NA,NA,NA,NA,NA,"GNG10",0.773121666130626,NA,NA,"ZNF585B",0.496285259430846,"PRKACB",0.589013988902916,"HAUS3",0.742456163324502,"STRN3",0.624,"CHD9",0.412594385077012,"SUPT20H",0.418014796265846
"135",NA,NA,"FGD4",0.662,NA,NA,"PMS1",0.292679712603823,"TARBP1",0.379528421354931,"FOXM1",0.515,"CD44",0.348,NA,NA,NA,NA,NA,NA,"CTTNBP2",0.77251023785708,NA,NA,"FGD4",0.495,"GLRA3",0.588317592694973,"VDAC2",0.7390162683284,"SLC41A3",0.62116678284861,"MELTF",0.410491708729864,"GRIA1",0.417609688675275
"136",NA,NA,"TMEM131",0.659598037504904,NA,NA,"GAS2L3",0.291683689190692,"FGF12",0.378488932407283,"DLGAP4",0.514,"RCC1",0.347238315563992,NA,NA,NA,NA,NA,NA,"VDAC2",0.771633875905438,NA,NA,"ARPP21",0.492875723450767,"SULF1",0.587407413949513,"VPS8",0.735751212305311,"NSUN4",0.620109691614445,"KLHL1",0.405410148049741,"SLC25A17",0.417
"137",NA,NA,"ERRFI1",0.658336028387095,NA,NA,"KCTD20",0.2887678961974,"TMEM214",0.3731477723627,"ERRFI1",0.513712570127689,"FAAP20",0.345,NA,NA,NA,NA,NA,NA,"DLG5",0.771252510562684,NA,NA,"HPS5",0.486585569265142,"GPHN",0.586750800963201,"ZNF10",0.735717270121253,"ZNF804A",0.61871208687814,"ELMO2",0.403,"CLN3",0.414
"138",NA,NA,"CYLD",0.656014416104383,NA,NA,"PLCH1",0.284578420110731,"JAKMIP2-AS1",0.371526527221742,"DLG5",0.512445079224836,"SH3YL1",0.345,NA,NA,NA,NA,NA,NA,"PCM1",0.770766604164657,NA,NA,"ENOX1",0.485645794013684,"SLC24A3",0.585697063799715,"PTPRT",0.734890962680859,"PRPF39",0.617275528205127,"PNISR",0.401362006012446,"PRPF31",0.413890745107495
"139",NA,NA,"TESMIN",0.655354491240275,NA,NA,"FGD4",0.283954606824412,"HSD17B4",0.370718820572422,"RARS1",0.512184852717161,"FGD4",0.343,NA,NA,NA,NA,NA,NA,"TMEM131",0.769098756062642,NA,NA,"SPPL2B",0.484740938065461,"IFT57",0.578107122502744,"AC114316.1",0.734321003907233,"LNPK",0.617149914655091,"FAAP20",0.401,"AC138894.1",0.412
"140",NA,NA,"SF3B3",0.654421936800412,NA,NA,"SCLT1",0.27998360669696,"DDX18",0.369,"ZNF138",0.505942145581936,"IFT57",0.342139067925759,NA,NA,NA,NA,NA,NA,"NUP58",0.766,NA,NA,"MAST4",0.482819786700268,"DGKI",0.576936398478077,"ZNF138",0.732986886969293,"MDN1",0.616220431989246,"NUTM2A-AS1",0.396,"GPHN",0.411268885833324
"141",NA,NA,"FAM124A",0.652077580709355,NA,NA,"GRID2",0.279776673969079,"ARHGAP5",0.367266744534361,"SH3YL1",0.503,"ERCC6L2",0.340260888830518,NA,NA,NA,NA,NA,NA,"BEND6",0.764,NA,NA,"CDC40",0.480500731833992,"LINC02210",0.576,"SSBP1",0.732,"PRKACB",0.615116599573155,"ADAMTS10",0.395881623050466,"SNHG14",0.411
"142",NA,NA,"LINC02210",0.651739641212633,NA,NA,"C1orf94",0.272412821690684,"NOD1",0.366,"MYCBP2",0.502,"FAM174A",0.34,NA,NA,NA,NA,NA,NA,"MMS19",0.760549482456231,NA,NA,"LMAN2L",0.476,"BLMH",0.572690670681173,"CSTF3",0.731346952320502,"TMEM50B",0.611,"PRKACB",0.395554454569177,"VPS29",0.410753026387409
"143",NA,NA,"HMGA2",0.651055579534778,NA,NA,"SNX4",0.269588645421854,"STRN4",0.363014398692851,"CHD9",0.5,"FBXO10",0.338298701581835,NA,NA,NA,NA,NA,NA,"THADA",0.756,NA,NA,"FBXO7",0.475,"HAUS3",0.570156446433564,"ANXA6",0.731,"LINGO2",0.607765563366047,"EXTL2",0.392774130103935,"CCDC18-AS1",0.41
"144",NA,NA,"SENP6",0.651,NA,NA,"LINC02210",0.26774192348058,"TASOR2",0.362,"ARHGEF5",0.494916647701077,"UBP1",0.337,NA,NA,NA,NA,NA,NA,"PDIA5",0.755342098697767,NA,NA,"LUC7L3",0.47461111743324,"ZNF618",0.568,"PCDH9",0.729613893834848,"NIPA1",0.605,"GABRB2",0.390085786197254,"CHD9",0.407
"145",NA,NA,"ATG2B",0.649724784030482,NA,NA,"ENAH",0.260322296931905,"ASAP2",0.359,"RNF144A",0.494583331839784,"CEP170",0.333,NA,NA,NA,NA,NA,NA,"SRGAP1",0.755259884691325,NA,NA,"PPHLN1",0.473,"DCAF17",0.560861510327392,"AL390879.1",0.726336986880009,"MAN1B1",0.601534349434279,"CLN3",0.388,"ADAMTS10",0.40411751833556
"146",NA,NA,"MBOAT2",0.648565620454872,NA,NA,"UBAP2L",0.253407711879133,"AC020915.3",0.355339274361487,"THADA",0.494491431952461,"ELMO2",0.333,NA,NA,NA,NA,NA,NA,"ATP11B",0.754633889678923,NA,NA,"UBAP2L",0.472834614984331,"SGK1",0.560560395088843,"TMEM214",0.722167506784341,"ABCC8",0.600854473231862,"AC138894.1",0.387,"SPDL1",0.403034732057926
"147",NA,NA,"RPF2",0.646368941141886,NA,NA,"FBXO10",0.250194597678179,"ARHGAP1",0.352105437276667,"CENPI",0.492140260639608,"RBBP8",0.333,NA,NA,NA,NA,NA,NA,"SPIDR",0.753823834153717,NA,NA,"PRKG1",0.471489416757153,"DOCK3",0.556626600829904,"DAAM1",0.720050257135221,"BTBD10",0.600341015741406,"GPHN",0.385763187925659,"ADAMTS19",0.402538750452478
"148",NA,NA,"KCNT2",0.642039553593569,NA,NA,NA,NA,"CEP170",0.35,"TXLNGY",0.49,"ZMIZ2",0.333,NA,NA,NA,NA,NA,NA,"GLRA3",0.752829136669999,NA,NA,"SNHG16",0.47,"ERVK13-1",0.556,"NR1H3",0.717928096083477,"ATP7B",0.595,"CHORDC1",0.385,"PNISR",0.401093504358829
"149",NA,NA,"PNISR",0.642019111578401,NA,NA,NA,NA,"NIPA1",0.347,"MDM4",0.488,"SAR1A",0.325390202564436,NA,NA,NA,NA,NA,NA,"FAM174A",0.752,NA,NA,"DLGAP4",0.469,"MYO5A",0.549855738856817,"LUC7L3",0.717415006819103,"DYRK1A",0.595,"AC068205.2",0.382514376522197,"STRN4",0.4
"150",NA,NA,"IVD",0.640120733245059,NA,NA,NA,NA,"ADCY5",0.346,"UBN1",0.482,"MAN1B1",0.322035822192021,NA,NA,NA,NA,NA,NA,"C6orf58",0.75,NA,NA,"SGCZ",0.464569830940498,"CACNB4",0.546,"PRKACB",0.712672973587674,"DNAJC27",0.59426485965634,"NUP58",0.382,"TET1",0.399694324333776
"151",NA,NA,"TPTEP2",0.639234509755833,NA,NA,NA,NA,"SLC7A6",0.344,"TPTEP2",0.481310961228629,"ADCY5",0.322,NA,NA,NA,NA,NA,NA,"CAPRIN2",0.748120187684953,NA,NA,"PIK3CD",0.463221546118452,"ADAL",0.545132177508999,"VPS41",0.708193755139144,"GPHN",0.59376966782474,"MYT1",0.379,"ADGRL1",0.399367760463273
"152",NA,NA,"WDR37",0.637125653821638,NA,NA,NA,NA,"AMT",0.343,"PPP1R12B",0.478652142932059,"TMEM50B",0.32,NA,NA,NA,NA,NA,NA,"PEPD",0.748,NA,NA,"STRN",0.462342136399212,"FAM3A",0.543149908571724,"SPATS2",0.706826324079209,"ZNF730",0.592867961296221,"PRUNE2",0.377,"PTPRT",0.398786132718697
"153",NA,NA,"APLP2",0.637,NA,NA,NA,NA,"AVL9",0.342975036587571,"FAM162A",0.478,"ABHD10",0.318,NA,NA,NA,NA,NA,NA,"TAF2",0.745,NA,NA,"CYLD",0.460894441622561,"AC010538.1",0.542581887421931,"RAD21",0.706071848384591,"VPS29",0.588081558944108,"MED13L",0.374795043082012,"VAV2",0.397909751788028
"154",NA,NA,"PRKG1",0.636,NA,NA,NA,NA,"FAM162A",0.333,"SNX24",0.477539071764612,"GXYLT1",0.315395195099626,NA,NA,NA,NA,NA,NA,"LRRC6",0.74261217815189,NA,NA,"LARS2",0.459,"CHD9",0.539,"OBSCN",0.703660666562434,"GLRB",0.586,"ADAM17",0.373,"ZMIZ2",0.395
"155",NA,NA,"SNX13",0.632348864967041,NA,NA,NA,NA,"TET1",0.332618791021325,"TASOR2",0.477,"NIPA1",0.315,NA,NA,NA,NA,NA,NA,"SREK1",0.742,NA,NA,"TSPAN2",0.457317001859504,"WDR17",0.537,"AGK",0.699681242177613,"ZNF618",0.586,"PTPRT",0.371899991108292,"RPS10",0.393993154321787
"156",NA,NA,"ZNF878",0.630894517916028,NA,NA,NA,NA,"WNK3",0.332186766022895,"BIRC6",0.476,"STRN3",0.315,NA,NA,NA,NA,NA,NA,"SORCS3",0.736460582275167,NA,NA,"COG3",0.456,"STRN",0.536490144338834,"MAN1B1",0.698,"APPL2",0.58563732669592,"RUNDC3B",0.371,"HIKESHI",0.391
"157",NA,NA,"WNK1",0.629592604453277,NA,NA,NA,NA,"DLGAP4",0.33,"GRAMD2B",0.476,"NPEPPS",0.313,NA,NA,NA,NA,NA,NA,"DMD",0.734892386332018,NA,NA,"SOS2",0.454,"RNF144A",0.536396680636098,"DNAJA4",0.695114244425005,"PHIP",0.582172366973827,"GNAQ",0.370778725118607,"LARS2",0.389
"158",NA,NA,"NEDD4L",0.628,NA,NA,NA,NA,"FGD4",0.33,"UBP1",0.476,"DNAJC27",0.312789438365438,NA,NA,NA,NA,NA,NA,"ABCB8",0.733,NA,NA,"DDX50",0.45259781710845,"WDR91",0.536239354606404,"ARID1A",0.694578865906456,"NLN",0.5808350756762,"HSD17B12",0.369545201497246,"KLHL1",0.388174171495802
"159",NA,NA,"AC008770.1",0.62720822809616,NA,NA,NA,NA,"ZNF66",0.321052331267409,"RERE",0.475861288545249,"GGCT",0.307,NA,NA,NA,NA,NA,NA,"ATP8A2",0.731527044133722,NA,NA,"CYTH2",0.452432396856085,"CDCA4",0.532475422775432,"RPF2",0.694214663188525,"ABAT",0.577976368364431,"FGD4",0.367,"FAM66D",0.386854243634916
"160",NA,NA,"SUPT20H",0.627,NA,NA,NA,NA,"ELF2",0.321,"IVD",0.475162970425516,"LRRC28",0.305,NA,NA,NA,NA,NA,NA,"WDR19",0.72555905303904,NA,NA,"GPHN",0.452046045734077,"ZNF585B",0.531790074314141,"CEP72",0.691170425018944,"CTTNBP2",0.576586847749773,"WDR91",0.364,"GNAQ",0.386702427879139
"161",NA,NA,"ZNF66",0.625,NA,NA,NA,NA,"ARMCX6",0.318,"DDX18",0.474,"PPHLN1",0.304,NA,NA,NA,NA,NA,NA,"ZNF730",0.725533070780376,NA,NA,"CDC42BPA",0.452,"ZNF804A",0.52549277950995,"FAM162A",0.691,"C14orf132",0.575,"TMEM50B",0.363985525370712,"CHORDC1",0.385
"162",NA,NA,"CLK4",0.622,NA,NA,NA,NA,"TJP2",0.315012987076003,"AHI1",0.472048517503329,"VAV2",0.302232653348238,NA,NA,NA,NA,NA,NA,"CCDC93",0.721610052756566,NA,NA,"AC044860.1",0.451825424651442,"ARMCX6",0.525,"ERRFI1",0.689843548980585,"SULF1",0.57416778004206,"FNIP2",0.361569753389976,"RUNDC3B",0.384
"163",NA,NA,"FES",0.615644803277425,NA,NA,NA,NA,"MIB2",0.309,"GGCT",0.472,"SPIRE1",0.302088836009634,NA,NA,NA,NA,NA,NA,"WNK1",0.719609607921751,NA,NA,"FNIP2",0.451109380583074,"TMEM214",0.522996479422076,"CDCA4",0.686311998302662,"ZNF585B",0.572828780163883,"STRN4",0.361437506529022,"FGD4",0.378
"164",NA,NA,"DPY30",0.615536795169457,NA,NA,NA,NA,"OCLNP1",0.308510896185176,"SLC25A17",0.472,"CREBZF",0.301,NA,NA,NA,NA,NA,NA,"ANKRD13C",0.714869606570802,NA,NA,"PITPNB",0.448374205287126,"PPP3CA",0.521576557968297,"CPLX2",0.685155345645842,"PTPRT",0.571493921140862,"CSTF3",0.359942452947466,"FAM124A",0.37759209306912
"165",NA,NA,"RERE",0.614889183626418,NA,NA,NA,NA,"OSBPL9",0.308,"MADD",0.471,"LINC00667",0.301,NA,NA,NA,NA,NA,NA,"RNF144A",0.714517948635421,NA,NA,"EIF2D",0.448,"RCC1",0.519785312778813,"ADAL",0.685,"DNAJA4",0.570425553417121,"CACNA1H",0.358,"TMEM50B",0.377158611724439
"166",NA,NA,"AC008581.2",0.614060449303311,NA,NA,NA,NA,"FAM174A",0.307212109126683,"PSMD13",0.468,"TJP2",0.300320532580501,NA,NA,NA,NA,NA,NA,"MTMR1",0.712724058577031,NA,NA,"AC114490.2",0.447860697971274,"PRPF39",0.519586409611972,"TMEM50B",0.685,"STRN",0.569475023341671,"MSL3",0.358,"PRUNE2",0.377
"167",NA,NA,"BICD1",0.613446016826943,NA,NA,NA,NA,"RBBP8",0.305,"ZNF350",0.463990494018425,"RAPGEF1",0.299754716154441,NA,NA,NA,NA,NA,NA,"SMC5",0.710418517471129,NA,NA,"NSUN4",0.445157495154738,"SNX7",0.519100154414371,"NEGR1",0.67467657255337,"ZMIZ2",0.568,"PPHLN1",0.356,"PDE3B",0.37590490960792
"168",NA,NA,"AC009533.1",0.61310283269087,NA,NA,NA,NA,"AKAP9",0.304,"PTPRZ1",0.463,"SREK1",0.299389724259818,NA,NA,NA,NA,NA,NA,"SGCZ",0.7097400125895,NA,NA,"TNFRSF25",0.444442435627895,"FAM162A",0.517,"RAB23",0.67250381538155,"ZNF433",0.568,"ZNF433",0.355373756981257,"FRYL",0.375641523624569
"169",NA,NA,"RBM33",0.611,NA,NA,NA,NA,"GGCT",0.304,"EML1",0.462344261897034,"ERC1",0.2934198512062,NA,NA,NA,NA,NA,NA,"MANEA",0.709029337887537,NA,NA,"SULF1",0.442653987375909,"TET1",0.516116251657666,"RGL1",0.672412869620439,"PDXDC1",0.565,"EWSR1",0.353,"ZNF10",0.3748662064647
"170",NA,NA,"ZNF618",0.609,NA,NA,NA,NA,"STRN3",0.303,"ZNF66",0.462,"PMS2P10",0.291393218720475,NA,NA,NA,NA,NA,NA,"STRN",0.701634691787223,NA,NA,"SERGEF",0.442,"INVS",0.50982376734603,"CUL3",0.672026303911943,"DGKI",0.558073197543927,"LARS2",0.352823425373697,"PPP1R26",0.374395688147775
"171",NA,NA,"HNRNPUL1",0.608,NA,NA,NA,NA,"PPHLN1",0.302,"CD47",0.461,"PRPF31",0.283198287328223,NA,NA,NA,NA,NA,NA,"CCDC88A",0.7,NA,NA,"AGPS",0.441486040568078,"GLRB",0.509,"WSB1",0.672,"ODR4",0.557548374928585,"C14orf132",0.351,"CACNA1H",0.374
"172",NA,NA,"MTHFD1L",0.607843714324692,NA,NA,NA,NA,"ZKSCAN3",0.3,"ATG2B",0.45765841863102,"DLG5",0.280445320065738,NA,NA,NA,NA,NA,NA,"RPF2",0.699655166837053,NA,NA,"FAM86B2",0.441344616850937,"STXBP5L",0.508901922800291,"CACNA2D1",0.669137077240311,"FGF12",0.550094874386792,"FAM124A",0.340912099407062,"DDX42",0.372766633080183
"173",NA,NA,"DSG2",0.603525825296676,NA,NA,NA,NA,"KIF21A",0.298030881896989,"RPL17",0.456557482175921,"MYO6",0.278837489117604,NA,NA,NA,NA,NA,NA,"SLC41A3",0.699430454054341,NA,NA,"GRIA1",0.441083551419691,"AL359317.1",0.507233169810144,"NSMF",0.66667765769392,"PPHLN1",0.546,"SPRYD7",0.34024954589132,"MTERF3",0.372681307082231
"174",NA,NA,"TAF2",0.603,NA,NA,NA,NA,"APIP",0.293164096766781,"UBN2",0.453,"GRID2",0.274656623895218,NA,NA,NA,NA,NA,NA,"CYP2R1",0.698771296731577,NA,NA,"ZNF618",0.437,"TNRC6A",0.503778026399948,"ING3",0.665550813911742,"OBSCN",0.543422517074251,"SCLT1",0.337,"MYCBP2",0.37
"175",NA,NA,"LUC7L3",0.599356586032678,NA,NA,NA,NA,"OCLN",0.288492620019243,"CPSF7",0.452,"CBWD5",0.274425471010248,NA,NA,NA,NA,NA,NA,"CD47",0.696498197015044,NA,NA,"ADGRL1",0.43616260886575,"DNAJC27",0.503443540966091,"GLRA3",0.659923556120936,"MAST4",0.540343156562117,"TP53INP1",0.337,"FGF12",0.368899192084562
"176",NA,NA,"DENND1A",0.596581357314084,NA,NA,NA,NA,"EIF2AK2",0.282126566776051,"TNFRSF12A",0.451850711014896,"MED1",0.27114895084543,NA,NA,NA,NA,NA,NA,"NLN",0.69517914017821,NA,NA,"OSBPL5",0.434038739952613,"PPHLN1",0.503,"FAM114A2",0.657918858554146,"STXBP5L",0.539981654221568,"AC104452.1",0.336,"AGPS",0.361832985866992
"177",NA,NA,"RNF213",0.59585015016385,NA,NA,NA,NA,"SAR1A",0.280014624332153,"HIKESHI",0.449,"STRN4",0.267949277369762,NA,NA,NA,NA,NA,NA,"DNAJC13",0.692982322660236,NA,NA,"ECM1",0.433906178632527,"ELMO2",0.501,"INVS",0.657911033814653,"CSTF3",0.538656400868606,"MTHFSD",0.333729333903969,"ZNF618",0.36
"178",NA,NA,"ATP11B",0.592921674929963,NA,NA,NA,NA,"EML1",0.278603512306197,"CLN3",0.448,"TET1",0.262673712217805,NA,NA,NA,NA,NA,NA,"ZCCHC8",0.692183326644987,NA,NA,"NUDT22",0.433,"RASGRP2",0.500397502603468,"ZNF618",0.657,"RAB2B",0.53756016360966,"KCNC1",0.33230689840947,"DNAJC27",0.357514733571464
"179",NA,NA,"TTTY14",0.591056087155821,NA,NA,NA,NA,"MRPL39",0.278422388225292,"TNRC6A",0.447,"JAKMIP2-AS1",0.260983518569753,NA,NA,NA,NA,NA,NA,"TDRKH",0.688328356111831,NA,NA,"LNPK",0.432245508391614,"FAM174A",0.499,"SENP6",0.653,"CREBZF",0.537,"MTERF3",0.332152083819851,"MACROD2",0.35493908094713
"180",NA,NA,"MORF4L1",0.589209270735738,NA,NA,NA,NA,"GXYLT1",0.278078144304258,"FNIP2",0.446,"KIF3A",0.260747183811717,NA,NA,NA,NA,NA,NA,"BLMH",0.688026451217573,NA,NA,"DCAF17",0.43,"DMXL1",0.49765596533669,"SREK1",0.653,"WDR17",0.537,"WNK3",0.329545481820829,"MCAM",0.353914118493042
"181",NA,NA,"ABCB8",0.586,NA,NA,NA,NA,"RERE",0.277681980984194,"ZNF530",0.446,"ALDH3A2",0.260131943684043,NA,NA,NA,NA,NA,NA,"BCS1L",0.688,NA,NA,"C19orf47",0.429875891635091,"PCDH9",0.495028995872079,"AC022433.1",0.651737311370307,"SGK1",0.536805477403534,"RCC1",0.328564157776702,"SNHG16",0.353911847189557
"182",NA,NA,"VDAC2",0.583132543881847,NA,NA,NA,NA,"CENPI",0.277555277809844,"PIGN",0.444356046516021,"SLC12A2",0.259364560692113,NA,NA,NA,NA,NA,NA,"SPPL2B",0.687,NA,NA,"DOCK3",0.4297198984017,"CHROMR",0.494,"FASTKD1",0.649772858331418,"PRICKLE1",0.536517382014532,"TSPAN7",0.327,"DPH1",0.353451898985213
"183",NA,NA,"HIBCH",0.582494852666833,NA,NA,NA,NA,"NR1H3",0.276077493755668,"TRAIP",0.444,"ADCY3",0.255077018559924,NA,NA,NA,NA,NA,NA,"ERC1",0.682252259539493,NA,NA,"PRPF39",0.428953614341826,"SKP1",0.492,"ZBTB41",0.648971878077605,"AL157871.6",0.535247302332494,"ERICH1",0.324,"PPHLN1",0.353
"184",NA,NA,"DCBLD2",0.580977363616557,NA,NA,NA,NA,"ABHD10",0.27359750632772,"TMEM263",0.443,"CACNA1H",0.254484324839223,NA,NA,NA,NA,NA,NA,"NR2C2",0.681018946960439,NA,NA,"RUNDC3B",0.424,"TENT2",0.489480916401996,"APIP",0.648083389043495,"FBXL16",0.534992957074347,"WSB1",0.324,"SH3YL1",0.353
"185",NA,NA,"BSDC1",0.580927100140351,NA,NA,NA,NA,"SSBP1",0.271831117258574,"RSRC2",0.439,"WNK3",0.251274379100311,NA,NA,NA,NA,NA,NA,"RBBP8",0.67404635463578,NA,NA,"GLRB",0.42,"AC136604.3",0.488,"ATG4A",0.648,"GRIA1",0.534817873216832,"LMBRD2",0.322898310259491,"SNHG15",0.348
"186",NA,NA,"GRID2",0.578765689935263,NA,NA,NA,NA,"PELI1",0.26930266727414,"ZNF585B",0.438341814708429,NA,NA,NA,NA,NA,NA,NA,NA,"ARMH3",0.673589947157058,NA,NA,"STRN4",0.417,"RAP1A",0.487,"IL6ST",0.646,"RAP1A",0.531,"PIGT",0.319,"WNK1",0.344904640081848
"187",NA,NA,"GNG10",0.575382413969085,NA,NA,NA,NA,"FAM13B",0.266019595603791,"SUN1",0.438,NA,NA,NA,NA,NA,NA,NA,NA,"LNPK",0.672,NA,NA,"ZMIZ2",0.415,"ZNF10",0.4856109603978,"ZMIZ2",0.639,"CEP72",0.530264564605677,"CDC42BPA",0.317,"ZNF767P",0.343
"188",NA,NA,"ULK1",0.575,NA,NA,NA,NA,"OSBPL1A",0.261062532696356,"CCDC160",0.437945753175196,NA,NA,NA,NA,NA,NA,NA,NA,"QKI",0.671309324256782,NA,NA,"SREK1",0.414,"ERRFI1",0.483782944314394,"DMXL1",0.633703367890008,"PTGR2",0.528,"STRN3",0.316,"PPIP5K2",0.342259426669279
"189",NA,NA,"ZC3H10",0.574158764501541,NA,NA,NA,NA,"CACNA1H",0.256250224272048,"NPHP3",0.43757237143286,NA,NA,NA,NA,NA,NA,NA,NA,"SSR1",0.668502458345295,NA,NA,"PTPRT",0.412611081372956,"ZBTB41",0.483343686749566,"PSMB1",0.632511214694554,"CHD9",0.527,"VSTM2L",0.313835162070587,"FNIP2",0.339381287043364
"190",NA,NA,"ZNF730",0.572943600092836,NA,NA,NA,NA,NA,NA,"NIPA1",0.435630718394264,NA,NA,NA,NA,NA,NA,NA,NA,"NUP35",0.66778614495606,NA,NA,"CACNA1H",0.412,"ASCC3",0.480722325123687,"VAMP4",0.632473167408948,"SPDL1",0.526563747770987,"GGCT",0.312,"BLMH",0.338351618060562
"191",NA,NA,"CLASP2",0.572492524527712,NA,NA,NA,NA,NA,NA,"DENND1A",0.435477210786067,NA,NA,NA,NA,NA,NA,NA,NA,"CLTC",0.663,NA,NA,"BICRA",0.410523560305746,"DDX42",0.480143883408776,"SULF1",0.629831727610467,"FAM174A",0.525,"HMGN1",0.312,"ADAM17",0.337
"192",NA,NA,"TCF4",0.571652625306745,NA,NA,NA,NA,NA,NA,"CDON",0.435,NA,NA,NA,NA,NA,NA,NA,NA,"RERE",0.661605681589279,NA,NA,"CCDC18-AS1",0.41,"CNTN1",0.477095493458996,"CFLAR",0.627796196550331,"DOCK3",0.524007222757844,"SH3YL1",0.312,"TSPAN7",0.337
"193",NA,NA,"MYLK",0.571251439661991,NA,NA,NA,NA,NA,NA,"ABCC5",0.434,NA,NA,NA,NA,NA,NA,NA,NA,"AC068205.2",0.658039726927006,NA,NA,"AC138894.1",0.409,"FAM81A",0.477,"TXNL4B",0.626192669331709,"SNHG15",0.524,"VAV2",0.310585392648329,"CREBZF",0.336
