Row.names,dPSI_DMSO_CHX_vs_DMSO_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
AC026191.1,0.308230413575821,NA,NA,NA,NA,NA,NA,NA,-0.253457677316376,-0.28613236831444
AC069277.1,NA,NA,NA,NA,NA,NA,-0.294742765257443,NA,NA,NA
AC079447.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.288671375023733
AC083798.2,NA,0.272370443666066,NA,NA,NA,NA,NA,NA,NA,NA
AC092279.1,NA,NA,0.259070525245143,NA,NA,NA,NA,0.404036796365273,NA,NA
AC103810.2,NA,0.281119959316519,NA,NA,NA,NA,NA,NA,NA,NA
AC105383.1,NA,NA,NA,NA,NA,NA,-0.360910173532719,NA,NA,NA
AC107918.4,NA,NA,NA,NA,0.278337844958832,NA,NA,NA,NA,NA
AC127502.1,NA,NA,NA,NA,0.273827198599,NA,-0.299780899887546,NA,NA,0.287590576803852
AC133644.2,NA,NA,NA,NA,NA,NA,0.299126197472593,NA,NA,0.253021076288869
AC138649.1,0.286306727713534,NA,-0.41568196036428,-0.391667764467591,-0.377768353858967,-0.425024542344238,-0.399411649260563,0.31556959038237,-0.47797587263188,-0.341592680661352
AC138894.1,0.289756425138557,NA,-0.376439745867249,NA,NA,NA,NA,NA,NA,NA
AC141557.1,NA,NA,0.293976073185064,NA,NA,NA,NA,NA,NA,NA
AC233699.1,NA,NA,NA,0.273356300417897,NA,NA,NA,NA,NA,NA
AC233968.1,0.402978627466252,0.376275184239814,0.38222992956393,0.446899757786911,0.283001114769239,0.399249909964527,0.327404418092003,0.353896657243635,0.332326108469099,0.403207803926395
AC241952.2,0.258296555438105,0.282890210433808,0.390878925002802,0.538046234175847,0.400378477875877,0.664794082358802,0.388026301752078,0.588864106149421,NA,0.427365765895467
ACAD10,NA,0.307471633649846,0.312535728342306,0.30143105086098,0.269408031419606,NA,0.254215793989323,0.266128135726644,0.272691246472716,0.330864742682021
ACAD11,-0.337588547232698,-0.357787119450416,-0.315412437468109,-0.380531000542235,-0.367184548889156,-0.32253276359827,-0.309525139879915,-0.373940006133269,-0.345590431106809,-0.310210707867464
ACADL,0.253338781931906,NA,0.260940935990872,NA,NA,NA,NA,NA,NA,0.25267338536277
ACBD6,0.286354185981853,-0.352907698579315,-0.356290880587971,NA,-0.262049573108404,NA,-0.434209844567443,-0.274448872027459,-0.325799902909892,-0.440773564101841
ACER3,NA,NA,-0.276955306436764,NA,NA,NA,NA,-0.292777540956411,NA,NA
ACIN1,NA,NA,-0.257118447370471,0.256332554807407,NA,-0.269306424551006,NA,-0.252723678283981,-0.262239554185409,-0.272550123574544
