,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH
MTAP,-0.278127457302634
MTMR4,0.254720680422507
MYLK,0.280023463413442
NAA16,-0.474087312836896
NAA25,0.270624320539276
NAALAD2,0.301351462904308
NAF1,-0.285324279768687
NASP,0.261177954205768
NCK1.DT,0.294401206088999
NCOA6,-0.276180685762294
NCOA7,-0.324520317215326
NEMF,-0.252703634596538
NINL,0.265998536032699
NIPSNAP3B,0.304477326001254
NKTR,0.289543680930937
NOL4,-0.25366872394092
NOM1,-0.339867084251336
NPIPA1,0.250663459137792
NR2C2,-0.283128123498184
NR4A1,-0.306751244994999
NT5M,-0.279703045555983
NUDT16L1,0.451984958890275
ODR4,-0.367853328620606
ORC1,-0.290259231021321
OSGEP,-0.304797191793451
OTUD3,0.322658663610587
PAN2,-0.275111850369802
PAN3,-0.250012060082244
PANK2,0.294127347967262
PANK4,0.531560754062496
PAOX,-0.268445493096284
PARG,-0.388701739685578
PARGP1,0.45368040674964
PARP4,-0.422489813202798
PATL1,-0.43803026444547
PAXBP1,0.491511396772991
PCCA,0.271275303057418
PCIF1,-0.382397283377545
PCMTD1,-0.343773084656638
PCNP,0.304401844873692
PCSK5,0.316442885492789
PDCD6IPP2,0.440942456308934
PDE5A,-0.529426621294097
PDSS1,0.354310287976942
PDXDC2P,0.259186241431613
PEX5,0.328922886620807
PGAP3,-0.404157370867655
PGS1,-0.263808458153607
PHC3,-0.266563414363517
PHIP,-0.32552467665444
PIAS3,0.290558076609296
PIDD1,0.266366555150921
PIEZO1,-0.262758754318254
PIH1D1,-0.254068223498896
PIP4P2,-0.284193541913347
PKD2,-0.299250247815166
PLA2G6,-0.283535482433534
PLCD1,0.262663762187917
PM20D2,-0.291601988291508
PNPLA3,0.303200332945968
POGLUT1,-0.319097343663939
POLG,0.326391859744279
POLI,-0.255695958876997
POLN,-0.352702437294681
POU2F1,-0.252774801701819
PPARA,-0.250876493037679
PPCS,0.406398772921481
PPP3CC,0.282832646182953
PPP4R3A,-0.410720887565864
PRKG2,0.258021253757776
PRKRA,0.259667292781134
PRMT9,0.296778126230081
PRPF38B,-0.438603336880973
PRPF39,-0.437731727024945
PRRC2B,-0.30748536627193
PTBP2,0.639416004492897
PTPRJ,0.255234299520401
PTRH2,-0.352986359407271
PVT1,0.259960283595676
QRFPR,0.274558540885341
QSOX2,0.307035751033547
RAB5A,-0.266280306772917
RABGAP1,-0.264328944842569
RABGAP1L,-0.305944669947415
RAD54B,-0.300609556009698
RAPGEF6,-0.372228240637525
RBM6,-0.260661802701075
RBM8A,0.33349533850172
RBMX,0.251198611796793
RCAN3,0.304573183813329
RCBTB2,0.630454669541461
RELCH,-0.41303312288061
REXO5,-0.284886477376198
RHBDD2,0.272152349544752
RHOBTB1,-0.297638944548638
RIC8B,-0.365591300875751
RIOK3,0.36688823708546
RRAGB,-0.587908358706461
RSRC2,-0.367592227106639
RSRP1,0.250700209827773
RTTN,0.268012696840417
RUFY2,0.471855926895921
S100PBP,-0.328927888621296
SAAL1,-0.26311301505451
SBDSP1,-0.305530930008721
SBF2.AS1,-0.275751710297029
SCAND2P,0.336073042231354
SDCCAG8,-0.271783244556033
SDHAP3,-0.463249077684827
SEC61A2,0.254724161763087
SELENOO,-0.321955354242384
SEMA6C,-0.325724870438025
SENP7,-0.268417600338964
SETD6,0.277203377505214
SF3B3,-0.339825484203271
SFMBT2,0.407704336101996
SIAE,-0.345871711500483
SIRT1,-0.258862885226783
SLC15A4,0.299197504493977
SLC1A3,-0.301388089441764
SLC20A2,0.336361008508231
SLC22A15,-0.292575471230123
SLC36A4,-0.401365054029484
SLC38A6,-0.372961746392777
SLC4A7,0.257265233459263
SLC6A6,0.292099126017984
SLC7A6OS,0.471136907792172
SLX1A.SULT1A3,0.364847463081813
SLX1B.SULT1A4,0.368050428175614
SMAD4,-0.293776747781914
SMARCD3,-0.257372098852144
SMC6,-0.269732457532817
SMG8,-0.255191018698378
SMNDC1,-0.290857875311048
SMPD2,0.266098238066572
SMYD4,-0.262623138250562
SNHG20,-0.361268420610832
SNRNP48,0.297934548449727
SNX14,-0.271356808288746
SNX27,-0.359109764751139
SPATA5L1,0.259385473322901
SPIRE2,-0.349710488074629
SREK1,-0.35702995225404
SRP54.AS1,0.332781297995051
SRR,0.254890114628958
SRSF4,-0.403028037519651
SRSF6,0.262932474165902
ST3GAL5,-0.255210283433646
ST7L,-0.337823349250119
STARD5,0.277237000558083
STAT2,-0.264420086482019
STK16,0.264691991001588
STK17B,-0.293200556678634
SUGP2,-0.261368824470804
SUPT3H,-0.325147633168395
TAF1,-0.331662547076701
TARBP1,-0.255188894765122
TARDBP,-0.340274659415428
TARS3,-0.310264213940489
TBC1D2,0.308288948880718
TBC1D23,-0.272668688460159
TBC1D8B,-0.371391909315563
TBCK,-0.26976440451047
TBX18,-0.26408415192802
TCERG1,-0.338681872167646
TCF25,-0.319311577808128
THUMPD2,0.279741741997634
TMC3.AS1,0.261233417669779
TMEM120A,0.269391960573527
TMEM189,-0.287021352849828
TMEM222,-0.420973216568001
TMEM237,-0.304427079571602
TMEM39B,-0.363675087494439
TNFRSF19,0.330051768197073
TOE1,0.300026557932241
TOMM20,-0.272851700610964
TPCN1,-0.422661959968749
TRAPPC2,-0.284257600638408
TRIM3,0.313268564395812
TRIM4,0.252682264657276
TRIT1,0.264915868045637
TRMT11,0.293168371317522
TRMT44,0.299597482663103
TRNAU1AP,-0.343602632088309
TSC22D2,-0.315428180998048
TSPYL2,0.536014926853166
TTC38,-0.439461244722276
TTC39C,-0.33257992036137
TTC9C,-0.398038833831639
TTF1,0.34968915928693
TUBB4A,0.388243457062391
TUBG2,0.345538105748292
TUBGCP4,0.27729561467436
TUT7,0.270133652869885
TXNDC16,-0.39850099250284
UBE2E3,0.264527462038576
UBE3B,-0.270532537496771
UBR2,-0.261670532840284
UFSP2,0.290131420379791
UGGT2,-0.327234851883994
UHRF2,-0.402971468205692
UNKL,0.338191318325993
USP15,-0.307472323600177
USP24,-0.251384762046824
UTP18,-0.277401771698763
VIPR1,0.394921461647762
VPS11,-0.302540097829865
VPS36,-0.368262910496366
VPS8,-0.29484399733879
WARS2.AS1,-0.257061813775676
WASHC3,-0.268082482007785
WDR27,-0.311974655057772
WDR63,0.281219553335335
WFDC21P,0.303614096638297
WHAMM,0.289616216945352
XPA,-0.403298503485245
ZBTB41,-0.311095900210701
ZDHHC11B,0.547096912943802
ZDHHC17,-0.417294736828398
ZDHHC6,-0.252684187659308
ZFAT,-0.3232784162853
ZHX3,-0.356367828852749
ZMIZ2,0.280444417294207
ZNF165,0.27005851261579
ZNF197,-0.254703026051168
ZNF202,0.320781562918636
ZNF226,0.416255146116768
ZNF268,0.277018969898741
ZNF276,0.283917773475953
ZNF280D,0.308831719291531
ZNF282,-0.28684080572715
ZNF286A,0.250010333906621
ZNF292,-0.270594764648484
ZNF35,-0.296825770624088
ZNF382,0.345453202757385
ZNF529,0.313459809775101
ZNF530,0.312843336592222
ZNF559.ZNF177,0.276088394042289
ZNF570,0.283130632042239
ZNF577,0.498864094951412
ZNF628,-0.422860653407904
ZNF684,0.259575302258486
ZNF711,0.301795780201065
ZNF783,0.401143333361062
ZNF837,0.259315702446718
ZNHIT6,-0.251080559082556
ZSCAN26,0.372339441912157
ZZEF1,-0.265194639841966
