,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_U1_WT_100_EtOH_vs_DMSO_EtOH,dPSI_U1_WT_100_EtOH_vs_DMSO_EtOH,Padj_maxP_U1_WT_500_EtOH_vs_DMSO_EtOH,dPSI_U1_WT_500_EtOH_vs_DMSO_EtOH
1:1,FOXM1,ENSG00000111206.13,U1-WT100-EtOH_vs_DMSO,-0.00463602032178682,1,1,NA,NA,NA,NA
1:2,HTT,ENSG00000197386.12,U1-WT100-EtOH_vs_DMSO,-0.157199603620606,0.622014697302551,1,NA,NA,NA,NA
1:3,MSH3,ENSG00000113318.11,U1-WT100-EtOH_vs_DMSO,-0.019711530029516,1,1,NA,NA,NA,NA
2:1,FOXM1,ENSG00000111206.13,U1-WT500-EtOH_vs_DMSO,0.00265434866056845,1,1,NA,NA,NA,NA
2:2,HTT,ENSG00000197386.12,U1-WT500-EtOH_vs_DMSO,-0.0917893034975418,1,1,NA,NA,NA,NA
2:3,MSH3,ENSG00000113318.11,U1-WT500-EtOH_vs_DMSO,0.00542745580956068,1,1,NA,NA,NA,NA
