,Gene.Name,UniqueID,test,logFC,P.Value,Adj.P.Value,Padj_maxP_DMSO_CHX_vs_DMSO_EtOH,dPSI_DMSO_CHX_vs_DMSO_EtOH
20907,FOXM1,ENSG00000111206.13,DMSO-CHX__vs_DMSO,-0.501912754105707,3.74256858854876e-06,2.7492171264969e-05,NA,NA
23188,HTT,ENSG00000197386.12,DMSO-CHX__vs_DMSO,-1.1432639764772,6.22738441627193e-26,2.00546687741621e-23,NA,NA
27964,MSH3,ENSG00000113318.11,DMSO-CHX__vs_DMSO,0.438024073817637,0.000909037447453111,0.00419407477905157,NA,NA
