"","X","dPSI_iPSC_1755497_3x","X","dPSI_iPSC_2006152_3x","X","dPSI_iPSC_2189972_3x","X","dPSI_iPSC_2194943_3x","X","dPSI_iPSC_2195127_3x","X","dPSI_iPSC_2195327_3x","X","dPSI_iPSC_2197294_3x","X","dPSI_NGN2_1755497_3x","X","dPSI_NGN2_2006152_3x","X","dPSI_NGN2_2189972_3x","X","dPSI_NGN2_2194943_3x","X","dPSI_NGN2_2195127_3x","X","dPSI_NGN2_2195327_3x","X","dPSI_NGN2_2197294_3x","X","dPSI_Sy5Y_1755497_3x","X","dPSI_Sy5Y_2006152_3x","X","dPSI_Sy5Y_2189972_3x","X","dPSI_Sy5Y_2194943_3x","X","dPSI_Sy5Y_2195127_3x"
"13","NAV2",0.380491764727469,"NAV2",0.366235642822898,"PDE7A",0.435,"MADD",0.357,"MADD",0.371,"MYCBP2",0.400495818158333,"ZFAND4",0.354,"WDR17",0.557,"MANBA",0.487,"SENP6",0.480374570787265,"DENND1A",0.451897940442332,"LARP7",0.403,"SCARB1",0.436,"PDE7A",0.455,"FBXO48",0.402410335958746,"ASAP2",0.571,"LIMCH1",0.497,"ASAP2",0.391,"EHHADH",0.564
"14","LARP7",0.374302294775658,"PDE7A",0.366,"CPAMD8",0.434,"NAV2",0.339,"GRAMD2B",0.358935319944803,"CLASP2",0.386105406105855,"RASSF8-AS1",0.352,"HDX",0.556,"CLASP2",0.466808063241203,"APBB2",0.448410239443309,"SNAI3-AS1",0.444465287010977,"LRRC42",0.4,"HDX",0.416,"ARL15",0.454,"LIMCH1",0.401,"CHRM2",0.531079789605922,"NOMO2",0.489969707014012,"LYRM1",0.383,"LYRM1",0.564
"15","MADD",0.35060088424525,"HDX",0.364726369208389,"LRRC42",0.414,"LARP7",0.329,"LARP7",0.35,"ASAP1",0.384,"STRN3",0.349,"C12orf4",0.552955710216141,"GCFC2",0.458828212821952,"WDR17",0.44,"ABCB8",0.438,"PDE7A",0.398,"NAIP",0.412174990912745,"POMT2",0.446,"ERGIC3",0.393,"DENND5A",0.525,"CHRM2",0.469810551401108,"CAPS2",0.368,"LRRC42",0.531
"16","PILRB",0.343,"YJEFN3",0.361,"KDM6A",0.409,"KDM6A",0.323,"MYCBP2",0.349,"LARP7",0.384,"MADD",0.342,"AXIN1",0.545,"SCARB1",0.456,"SNAI3-AS1",0.42557985790878,"ENAH",0.411726318110683,"WDR17",0.39,"CACNA1C",0.411194052055096,"VDAC3",0.443738855449259,"FAM193B",0.393,"ADAMTS19",0.524571749611042,"ERGIC3",0.467,"PDE7A",0.365,"GXYLT1",0.525057441310295
"17","PDE7A",0.342075444372789,"C14orf132",0.34866520980012,"PSME2",0.403,"TAF2",0.321,"NAV2",0.343,"KDM6A",0.369,"LARP7",0.339,"DLGAP4",0.539,"RAF1",0.455,"STRN3",0.421,"CLASP2",0.4106108897273,"GXYLT1",0.388319465192815,"LIN37",0.4,"DENND1A",0.442909415406002,"ASAP2",0.369,"PDE7A",0.519,"LARP7",0.432,"MAOA",0.36,"EXOC6B",0.524
"18","LINC01128",0.34,"LARP7",0.333,"MADD",0.396,"PSME2",0.318,"LRRC42",0.338,"SKP1",0.355,"KIAA1549L",0.338,"ABCB8",0.538,"HDX",0.447,"PDE7A",0.419,"DHFR",0.404916771355267,"DLGAP4",0.387,"SENP6",0.381411664876615,"WDR17",0.429,"WDR27",0.363977763589822,"LRRC42",0.507,"ZNF37BP",0.430578065198765,"TAF2",0.353446779850747,"LIMCH1",0.522
"19","STRN3",0.34,"XPO1",0.333,"MYCBP2",0.378,"SENP6",0.312355513452541,"VPS29",0.32103635359414,"TAF2",0.352,"LRRC42",0.338,"CLASP2",0.535344828352575,"LARP7",0.442,"LRRC42",0.416,"KDM6A",0.4,"HDX",0.386,"LINC00963",0.377,"HDX",0.411,"KDM6A",0.357788145392389,"LYRM1",0.507,"NBR2",0.430461621232665,"CACNA1B",0.344939030598774,"PDXDC2P",0.514255320596071
"20","HDX",0.337220130914697,"FOXM1",0.331345452604618,"TAF2",0.377,"ZFP82",0.281825745793483,"EXOC6B",0.315,"MADD",0.351,"PDE7A",0.337,"LRRC42",0.529,"MELTF",0.440892620228051,"SKP1",0.413725038733102,"TMEM116",0.397,"DHFR",0.377634689822563,"TRIM65",0.377,"LARP7",0.381,"DUXAP9",0.354730892604473,"ERGIC3",0.504,"TAF2",0.426,"MADD",0.33773375161696,"AC009022.1",0.513699440049196
"21","ZSCAN23",0.328,"LINC01128",0.325,"NAV2",0.374,NA,NA,"ZFP82",0.310306469837867,"SENP6",0.343866449329106,"DRG2",0.323,"SENP6",0.523317210301649,"KDM6A",0.437865558128324,"LARP7",0.406,"CACNA1C",0.396779579571464,"CLASP2",0.37275084918994,"DENND1A",0.371061089839316,"TRIM65",0.377,"STRN3",0.354,"LIMCH1",0.498,"LYRM1",0.42,"PHOX2B-AS1",0.324137989112542,"LARP7",0.511
"22","ASAP1",0.320603814992779,"EXOC6B",0.315081620088137,"GRAMD2B",0.367536777455593,NA,NA,"KDM6A",0.308,"ASAH1",0.339,"POMT2",0.308,"TAF2",0.518,"CNGA3",0.435556493875183,"DHFR",0.392743618789948,"STRN3",0.394,"STXBP5L",0.372,"RAF1",0.366,"ASCC3",0.372781670625732,"HEXD",0.346,"MAOA",0.495,"ATR",0.418,"EXOC6B",0.315253620779179,"MAOA",0.502
