"","X","dPSI_iPSC_1755497_3x","X","dPSI_iPSC_2006152_3x","X","dPSI_iPSC_2189972_3x","X","dPSI_iPSC_2194943_3x","X","dPSI_iPSC_2195127_3x","X","dPSI_iPSC_2195327_3x","X","dPSI_iPSC_2197294_3x","X","dPSI_NGN2_1755497_3x","X","dPSI_NGN2_2006152_3x","X","dPSI_NGN2_2189972_3x","X","dPSI_NGN2_2194943_3x","X","dPSI_NGN2_2195127_3x","X","dPSI_NGN2_2195327_3x","X","dPSI_NGN2_2197294_3x","X","dPSI_Sy5Y_1755497_3x","X","dPSI_Sy5Y_2006152_3x","X","dPSI_Sy5Y_2189972_3x","X","dPSI_Sy5Y_2194943_3x","X","dPSI_Sy5Y_2195127_3x"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENAH",0.35392706219625,"ASCC3",0.286526080344857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOX2B-AS1",0.36854786535226,NA,NA,NA,NA,"MIR9-3HG",0.346
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SKP1",0.353,"ENAH",0.282980163422138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PNISR",0.368533704627843,NA,NA,NA,NA,"NUP58",0.346
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARL15",0.347,"C14orf132",0.280381164481835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STRN3",0.367,NA,NA,NA,NA,"TARDBP",0.340399863440481
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLHL1",0.342052960321059,"GRIA1",0.274874516410101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADD",0.366,NA,NA,NA,NA,"ZNF618",0.335665952487523
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TENT2",0.340958007140888,"TPTEP2",0.267677060144947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GGCT",0.364,NA,NA,NA,NA,"SH3YL1",0.335
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LRIG2",0.339601202019075,"LRIG2",0.266240975782694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAAP20",0.359,NA,NA,NA,NA,"ENAH",0.332948889008064
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIAM1",0.336042278929707,"SH3YL1",0.263616799150372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMN2",0.358563175062301,NA,NA,NA,NA,"FOXM1",0.332766021291341
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF618",0.331618324741609,"TIAM1",0.256439431141812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AXIN1",0.355,NA,NA,NA,NA,"STRN3",0.332
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EXOC6B",0.327483433545799,"ERCC8",0.25227450090897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TENT2",0.351702578700857,NA,NA,NA,NA,"FAAP20",0.33
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADAM17",0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APLP2",0.348,NA,NA,NA,NA,"ZMYM6",0.328131116312068
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERCC8",0.317856440097053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRICKLE1",0.342335996409242,NA,NA,NA,NA,"PIGN",0.328
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STRN3",0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FHOD3",0.340066044538695,NA,NA,NA,NA,"DHFR",0.325744472412306
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC138894.1",0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRNIP",0.34,NA,NA,NA,NA,"PHOX2B-AS1",0.320206166252965
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C14orf132",0.310284303479491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMIZ2",0.34,NA,NA,NA,NA,"AXIN1",0.311
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PNISR",0.30828245157911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM214",0.330457076386228,NA,NA,NA,NA,"ORAI3",0.310663469833745
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM50B",0.308028467128662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TP53INP1",0.326,NA,NA,NA,NA,"C14orf132",0.307
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST6GALNAC4",0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIPA1",0.324,NA,NA,NA,NA,"ZNF730",0.290273629280039
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNHG12",0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CACNA1B",0.320749496813966,NA,NA,NA,NA,"DLGAP4",0.284255997858217
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APLP2",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF618",0.319020976101773,NA,NA,NA,NA,"ZFP82",0.282227387640483
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELMO2",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SORCS1",0.31424408309382,NA,NA,NA,NA,"SLC25A17",0.281201499069166
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAAP20",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNFT1",0.313,NA,NA,NA,NA,"VDAC3",0.28098079784463
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENOX1",0.277519311597188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHEK1",0.305,NA,NA,NA,NA,"NOX4",0.280723027305419
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MACROD2",0.269899734219443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIR9-3HG",0.305,NA,NA,NA,NA,"CACNA2D1",0.279672271696609
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CACNB4",0.259206556607088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C14orf132",0.302,NA,NA,NA,NA,"ARMCX6",0.278233905113517
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SULF1",0.257954737424075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAF1",0.292228548658944,NA,NA,NA,NA,"SMN2",0.267063579088887
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GXYLT1",0.286730824559279,NA,NA,NA,NA,"GPI",0.256318355789801
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MMS22L",0.286699455921259,NA,NA,NA,NA,"PRICKLE1",0.256131774497854
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLGAP4",0.286069111338245,NA,NA,NA,NA,"GNAQ",0.256004560515046
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENAH",0.283281601131321,NA,NA,NA,NA,"CEP162",0.252032070068927
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZFP82",0.278087333450178,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMYM6",0.268734072072301,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CACNA2D1",0.265972610857835,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARMCX6",0.263818621647718,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHFR",0.261900463104729,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPP1R26",0.260425697631036,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOX2",0.256519587193465,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCF4",0.255994498430626,NA,NA,NA,NA,NA,NA
