"","1st_exp_iPSC.6152.10x","2nd_exp_iPSC.6152.10x"
"C12orf4",0.909842765763971,0.858960180609832
"AC009022.1",0.8036194461417,0.749804444075664
"ADAMTS19",0.796548229371506,0.719661661843222
"MATK",0.701375833971047,0.713342052949013
"ZNF66",0.49905664076187,0.754726426862323
"FBN2",0.588013575521796,0.606624691214893
"ZNF730",0.532364155566868,0.605777768114738
"ZFP82",0.531898386629335,0.580667814269905
"LINC02210",0.530319038028799,0.530016065726408
"WDR27",0.415103670452884,0.60651893297101
"ANKRD18CP",0.373354729775389,0.607857296998017
"MAN1B1",0.419042986765688,0.540800829374527
"TMEM214",0.432395125091843,0.46151387723424
"BECN1",0.402705818506793,0.488181231953808
"RAB2B",0.497787308505979,0.389740428202153
"PDXDC1",0.420441818511867,0.428450072304722
"DLGAP4",0.362435626736614,0.465864800570679
"DENND5A",0.349796924303802,0.451425158526597
"GGCT",0.353827021458213,0.438
"MMS22L",0.381716039029091,0.397772160816683
"SPIDR",0.307170260385266,0.432740758248314
"TENT2",0.319705418126139,0.362896641649227
"CACNA2D1",0.282407454352278,0.400035680628419
"STRN",0.33140746422168,0.350406830697828
"WNK1",0.299392115595276,0.378936717597193
"PNISR",0.331651894632186,0.337889655511145
"ZNF618",0.322253326659299,0.344138841251558
"TNRC6A",0.366518194549096,0.296924534330342
"XRN2",0.313239005360186,0.34776555068588
"TCF4",0.30793249156692,0.344728138557101
"DHFR",0.28910471086364,0.36125234252148
"ZMIZ2",0.342,0.293575577279636
"ODR4",0.367787044502247,0.26471706617049
"CHD9",0.277551724089937,0.34037419409835
"TIAM1",0.341354851860071,0.263593309527765
"RCC1",0.338047885336484,0.2637986989611
"MLLT10",0.32119863616919,0.275452648143379
"KIF21A",0.296603247184317,0.292745833180395
"SAR1A",0.301130772568231,0.282436434658261
"FAM174A",0.309079001410784,0.257688135425325
"APIP",0.272743530245703,0.283843234764064
"SF3B3",0.258238499216375,0.254161132997817
"GRAMD2B",-0.418,0.741660972873971
"ABCB8",-0.382,0.519776951240037
"CENPI",-0.585838308019039,0.676315320879166
"ADAL",-0.37194231335924,0.414939068489868
